n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
1, -0.46330492153, 0.63537113938, 1e-09, [nan], 0.49036315343, 1.0, nan, nan, nan,8.48770141602e-05, 0.00016713142395, 6.29425048828e-05, 16:20:51  04-07-16
2, -0.824592089784, 0.472847346469, 1e-09, [nan], 21.4432285367, 1.0, nan, nan, nan,6.103515625e-05, 0.000107049942017, 4.00543212891e-05, 16:20:51  04-07-16
3, -0.328039590662, -0.227565418635, 1e-09, [nan], 1.47237345081, 1.0, nan, nan, nan,4.31537628174e-05, 7.79628753662e-05, 3.79085540771e-05, 16:20:51  04-07-16
4, -0.428163323521, -0.582500863149, 1e-09, [nan], 5.62828945562, 1.0, nan, nan, nan,4.98294830322e-05, 9.91821289062e-05, 4.19616699219e-05, 16:20:51  04-07-16
5, -0.664968574923, -0.13720064157, 1e-09, [nan], 13.8028339662, 1.0, nan, nan, nan,4.60147857666e-05, 9.01222229004e-05, 4.19616699219e-05, 16:20:51  04-07-16
6, -0.992365989463, -0.324828634435, 1e-09, [nan], 68.9098162447, 1.0, nan, nan, nan,5.91278076172e-05, 0.000115871429443, 6.29425048828e-05, 16:20:51  04-07-16
7, 0.616165181071, -0.728183372289, 1e-09, [nan], 17.2503066547, 1.0, nan, nan, nan,4.60147857666e-05, 8.89301300049e-05, 4.00543212891e-05, 16:20:51  04-07-16
8, -0.0782046592889, 0.821428218628, 1e-09, [nan], 1.56555627553, 1.0, nan, nan, nan,4.19616699219e-05, 8.60691070557e-05, 4.00543212891e-05, 16:20:51  04-07-16
9, 0.0748739260523, 0.252359204241, 1e-09, [nan], 0.126170019402, 1.0, nan, nan, nan,6.41345977783e-05, 0.000120878219604, 5.91278076172e-05, 16:20:51  04-07-16
10, -0.451513451615, 0.649246557428, 1e-09, [nan], 0.353011137391, 1.0, nan, nan, nan,5.3882598877e-05, 0.000104188919067, 3.79085540771e-05, 16:20:51  04-07-16
11, 0.0960219478738, -0.999983064912, 1e-09, [nan], 2.73600393312, 1.0, nan, nan, nan,0.629652023315, 0.000162839889526, 6.41345977783e-05, 16:20:52  04-07-16
12, 0.999998118324, 0.999998118324, 1e-09, [nan], 40.0156694738, 1.0, -0.475842097241, 0.999949194737, 0.0550699508942,0.494902133942, 0.000151872634888, 0.502030134201, 16:20:53  04-07-16
13, 0.337392109378, 0.999994354971, 1e-09, [nan], 0.464492115658, 1.0, nan, nan, nan,0.658761024475, 0.000153064727783, 4.38690185547e-05, 16:20:53  04-07-16
14, -0.506081891812, 0.999999372775, 1e-09, [nan], 0.209312774865, 1.0, nan, nan, nan,0.429471969604, 0.000151872634888, 4.60147857666e-05, 16:20:54  04-07-16
15, 0.229639790682, 0.387136107301, 1e-09, [nan], 0.0381291009934, 1.0, nan, nan, nan,1.14526295662, 0.000153064727783, 4.48226928711e-05, 16:20:55  04-07-16
16, 0.211993429186, 0.999994354971, 1e-09, [nan], 1.50270349383, 1.0, 0.030584768582, -0.0298734948941, 0.00371013692641,0.535623073578, 0.000196933746338, 0.663960933685, 16:20:56  04-07-16
17, -0.0765127267185, -0.066656505614, 1e-09, [nan], 0.0249022904565, 1.0, nan, nan, nan,0.641047000885, 0.0001540184021, 4.6968460083e-05, 16:20:57  04-07-16
18, -0.278717675151, 0.446883097089, 1e-09, [nan], 0.0142893771751, 1.0, nan, nan, nan,0.832046031952, 0.00018310546875, 5.69820404053e-05, 16:20:58  04-07-16
19, 0.322511812224, 0.460702128741, 1e-09, [nan], 0.00915927544724, 1.0, nan, nan, nan,1.90163087845, 0.000159025192261, 5.91278076172e-05, 16:21:00  04-07-16
20, 0.0457247370828, -0.0607630950566, 1e-09, [nan], 0.0132375258721, 1.0, 0.242645938119, 0.259208453996, 0.00315444020554,0.907587051392, 0.000159025192261, 0.332405090332, 16:21:01  04-07-16
21, 0.152009348168, 0.0549712950262, 1e-09, [nan], 0.00922774800522, 1.0, nan, nan, nan,1.78541183472, 0.000159978866577, 5.81741333008e-05, 16:21:03  04-07-16
22, -0.178529695676, 0.151094853427, 1e-09, [nan], 0.00374837922601, 1.0, nan, nan, nan,0.869162082672, 0.000153779983521, 4.50611114502e-05, 16:21:04  04-07-16
23, -0.428525461905, 0.999994354971, 1e-09, [nan], 0.0266296395503, 1.0, nan, nan, nan,0.679285049438, 0.000154972076416, 4.50611114502e-05, 16:21:04  04-07-16
24, 0.273840369862, 0.343951633389, 1e-09, [nan], 0.00250148026498, 1.0, 0.305441243713, 0.486917644668, 0.00128373406907,0.762515068054, 0.000162839889526, 0.486250162125, 16:21:05  04-07-16
25, -0.357364222933, 0.64847838236, 1e-09, [nan], 0.00794225311461, 1.0, nan, nan, nan,0.873237848282, 0.000157117843628, 6.19888305664e-05, 16:21:06  04-07-16
26, 0.455486121696, 0.999983064912, 1e-09, [nan], 0.00509722427814, 1.0, nan, nan, nan,0.707625865936, 0.000155210494995, 5.79357147217e-05, 16:21:07  04-07-16
27, 0.410608139003, 0.827008078037, 1e-09, [nan], 0.00170646765916, 1.0, nan, nan, nan,1.07094192505, 0.000201940536499, 6.60419464111e-05, 16:21:08  04-07-16
28, 0.434836604628, 0.999998118324, 1e-09, [nan], 0.00879786578724, 1.0, 0.0996799268404, 0.0488746634151, 0.000275613105123,0.803091049194, 0.000158071517944, 0.703456878662, 16:21:10  04-07-16
29, -0.0180866737794, 0.0190011685211, 1e-09, [nan], 0.00196657399459, 1.0, nan, nan, nan,0.998839139938, 0.000154972076416, 5.79357147217e-05, 16:21:11  04-07-16
30, 0.209825737946, 0.19681959051, 1e-09, [nan], 0.00136177160467, 1.0, nan, nan, nan,0.97218298912, 0.000168085098267, 6.79492950439e-05, 16:21:12  04-07-16
31, -0.115429558502, 0.0923639689072, 1e-09, [nan], 0.00411828998283, 1.0, nan, nan, nan,0.988677978516, 0.0001540184021, 5.69820404053e-05, 16:21:13  04-07-16
32, 0.0990702636793, 0.0414909651307, 1e-09, [nan], 0.000413798816525, 1.0, 0.441396128639, 0.967128994564, 0.00157296153701,1.17954087257, 0.000159025192261, 0.600654125214, 16:21:15  04-07-16
33, -0.232213924029, 0.265609917187, 1e-09, [nan], 0.00469846992735, 1.0, nan, nan, nan,1.15222597122, 0.000158071517944, 5.69820404053e-05, 16:21:16  04-07-16
34, 0.362309268574, 0.655184677133, 1e-09, [nan], 0.000679117583705, 1.0, nan, nan, nan,1.28046107292, 0.000151872634888, 4.60147857666e-05, 16:21:17  04-07-16
35, 0.305034801605, 0.487256346424, 1e-09, [nan], 0.00147634408554, 1.0, nan, nan, nan,1.23849201202, 0.000156879425049, 5.91278076172e-05, 16:21:18  04-07-16
36, -0.0640485020915, 0.0377991159884, 1e-09, [nan], 0.00249423820679, 1.0, 0.441396128639, 0.967128994564, 0.00160398332424,1.23954296112, 0.000159978866577, 0.91099190712, 16:21:20  04-07-16
37, 0.171044386865, 0.164405832444, 1e-09, [nan], 0.000849574809706, 1.0, nan, nan, nan,1.03559708595, 0.0001540184021, 4.60147857666e-05, 16:21:22  04-07-16
38, -0.316313570086, 0.474013107758, 1e-09, [nan], 0.00840217419426, 1.0, nan, nan, nan,1.118735075, 0.000167846679688, 6.103515625e-05, 16:21:23  04-07-16
39, 0.436010770716, 0.92875408559, 1e-09, [nan], 0.00257924836313, 1.0, nan, nan, nan,1.2142598629, 0.000223159790039, 9.79900360107e-05, 16:21:24  04-07-16
40, 0.130705007705, 0.0946671408491, 1e-09, [nan], 0.000363566943441, 1.0, 0.244678148656, 0.300563938424, 2.99629207462e-05,1.35076999664, 0.000159978866577, 1.30869913101, 16:21:27  04-07-16
41, 0.0217785229216, 0.011583600061, 1e-09, [nan], 0.00103826123064, 1.0, nan, nan, nan,2.10847401619, 0.000154972076416, 4.60147857666e-05, 16:21:29  04-07-16
42, -0.396992328405, 0.792155667327, 1e-09, [nan], 0.00895719369168, 1.0, nan, nan, nan,1.2493019104, 0.000159978866577, 4.60147857666e-05, 16:21:30  04-07-16
