n, x0, x1, x2, s, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
1, -1.65705262159, 0.00333527216425, -1.2455459625, 1e-09, [nan], 32.758026901, 1.0, nan, nan, nan, nan,4.98294830322e-05, 0.125637054443, 8.51154327393e-05, 16:29:18  04-07-16
2, 0.988419540796, 0.153523885514, 0.547138925446, 1e-09, [nan], 62.9413521415, 1.0, nan, nan, nan, nan,3.981590271e-05, 0.123986005783, 8.79764556885e-05, 16:29:18  04-07-16
3, -0.971301420462, 0.0976273191871, -0.0279282061398, 1e-09, [nan], 19.3987712905, 1.0, nan, nan, nan, nan,4.79221343994e-05, 0.120412111282, 8.79764556885e-05, 16:29:18  04-07-16
4, -1.42850236418, 0.926887433533, -0.834892127496, 1e-09, [nan], 11.43935777, 1.0, nan, nan, nan, nan,4.60147857666e-05, 0.122184991837, 8.79764556885e-05, 16:29:19  04-07-16
5, -1.63683137953, -1.82470146686, -0.0468107925195, 1e-09, [nan], 3.43677512286, 1.0, nan, nan, nan, nan,4.60147857666e-05, 0.121267080307, 9.17911529541e-05, 16:29:19  04-07-16
6, -1.91947205333, 0.307815189206, -1.29201594311, 1e-09, [nan], 21.8411927734, 1.0, nan, nan, nan, nan,4.60147857666e-05, 0.126085996628, 9.3936920166e-05, 16:29:19  04-07-16
7, 0.275690232456, 0.441276949629, -0.249326741677, 1e-09, [nan], 14.5444704571, 1.0, nan, nan, nan, nan,4.79221343994e-05, 0.121711015701, 8.98838043213e-05, 16:29:19  04-07-16
8, -0.126850290275, -0.918571089481, 0.301953953005, 1e-09, [nan], 1.70201121034, 1.0, nan, nan, nan, nan,4.6968460083e-05, 0.123108148575, 8.39233398438e-05, 16:29:20  04-07-16
9, -1.35549166597, -0.0203623384257, -0.718201787338, 1e-09, [nan], 31.8402087892, 1.0, nan, nan, nan, nan,4.10079956055e-05, 0.122093200684, 8.79764556885e-05, 16:29:20  04-07-16
10, -1.12653739399, 0.445396398188, -0.517080104699, 1e-09, [nan], 17.5050971898, 1.0, nan, nan, nan, nan,4.10079956055e-05, 0.127501010895, 8.60691070557e-05, 16:29:20  04-07-16
11, -1.99931412894, -1.99977137631, 0.73182441701, 1e-09, [nan], 1.80469457413, 1.0, nan, nan, nan, nan,0.333451032639, 0.124083042145, 8.48770141602e-05, 16:29:21  04-07-16
12, 0.999771376315, 0.999771376315, -1.9999237921, 1e-09, [nan], 62.669349422, 1.0, 0.997942386831, -1.51646090535, 0.277777777778, 54.3840576018,0.370965003967, 0.122768163681, 0.227009057999, 16:29:22  04-07-16
13, 0.999314128944, -1.59465020576, 0.299725651578, 1e-09, [nan], 54.5478007758, 1.0, nan, nan, nan, nan,0.380586862564, 0.123830080032, 8.70227813721e-05, 16:29:22  04-07-16
14, -0.72085048011, -1.99977137631, 0.999771376315, 1e-09, [nan], 51.3840641018, 1.0, nan, nan, nan, nan,0.37574005127, 0.1224629879, 8.51154327393e-05, 16:29:23  04-07-16
15, -1.9999237921, 0.999923792105, 0.347279378144, 1e-09, [nan], 11.9048097166, 1.0, nan, nan, nan, nan,0.37961602211, 0.142296075821, 9.48905944824e-05, 16:29:24  04-07-16
16, -0.261316872428, 0.993827160494, -1.99794238683, 1e-09, [nan], 10.6579872399, 1.0, -1.66872427984, 0.00617283950617, 0.997942386831, 56.9308487845,0.448319911957, 0.122527122498, 0.272975921631, 16:29:25  04-07-16
17, -1.61659807956, 0.999314128944, 0.999314128944, 1e-09, [nan], 62.6751971887, 1.0, nan, nan, nan, nan,0.527149915695, 0.124103069305, 8.60691070557e-05, 16:29:25  04-07-16
18, -1.9999237921, -1.9999237921, 0.170019814053, 1e-09, [nan], 2.52171205731, 1.0, nan, nan, nan, nan,0.551091194153, 0.125547885895, 8.60691070557e-05, 16:29:26  04-07-16
19, -0.211476909008, -1.99977137631, -0.29012345679, 1e-09, [nan], 3.07903392769, 1.0, nan, nan, nan, nan,0.471590995789, 0.123654127121, 8.48770141602e-05, 16:29:27  04-07-16
20, -1.99997459737, 0.999974597368, -0.348701925519, 1e-09, [nan], 10.69642153, 1.0, -0.170781893004, -0.845679012346, -0.00205761316872, 2.26156845634,0.589626789093, 0.122583150864, 0.288022994995, 16:29:28  04-07-16
21, -1.99997459737, 0.999974597368, -1.99997459737, 1e-09, [nan], 11.0915333997, 1.0, nan, nan, nan, nan,0.528883934021, 0.126455068588, 8.98838043213e-05, 16:29:29  04-07-16
22, -0.37837219936, 0.999771376315, -0.55532693187, 1e-09, [nan], 10.6237502392, 1.0, nan, nan, nan, nan,0.501386880875, 0.125514984131, 9.01222229004e-05, 16:29:30  04-07-16
23, -0.364197530864, -1.9999237921, -1.9999237921, 1e-09, [nan], 6.2787730885, 1.0, nan, nan, nan, nan,0.540882110596, 0.12841796875, 8.60691070557e-05, 16:29:30  04-07-16
24, -0.954808718183, 0.999974597368, -1.99997459737, 1e-09, [nan], 10.9345065298, 1.0, -0.170781893004, -1.11728395062, -0.00205761316872, 2.18644071241,0.575675964355, 0.123600006104, 0.397181987762, 16:29:32  04-07-16
25, -0.183584819387, -1.00891632373, 0.00342935528121, 1e-09, [nan], 2.21352972565, 1.0, nan, nan, nan, nan,0.596930980682, 0.123580932617, 8.79764556885e-05, 16:29:33  04-07-16
26, 0.103566529492, -1.99977137631, -1.1662094193, 1e-09, [nan], 2.71935318937, 1.0, nan, nan, nan, nan,0.704952001572, 0.12402009964, 8.98838043213e-05, 16:29:34  04-07-16
27, -1.99999153246, -1.99997459737, -1.99999153246, 1e-09, [nan], 27.9093111831, 1.0, nan, nan, nan, nan,0.660121917725, 0.127059936523, 8.89301300049e-05, 16:29:34  04-07-16
28, 0.212493014276, -1.99997459737, -1.99997459737, 1e-09, [nan], 2.36037547083, 1.0, -0.12962962963, -1.89094650206, -0.00205761316872, 2.22682130526,0.701269865036, 0.123909950256, 0.508455038071, 16:29:36  04-07-16
29, -0.0566224660875, -1.9999237921, 0.13511659808, 1e-09, [nan], 1.94695468355, 1.0, nan, nan, nan, nan,0.747897863388, 0.124240159988, 8.70227813721e-05, 16:29:37  04-07-16
30, 0.015470202713, -1.9999237921, -1.63290656912, 1e-09, [nan], 3.22379876727, 1.0, nan, nan, nan, nan,0.798142194748, 0.124394893646, 8.70227813721e-05, 16:29:38  04-07-16
31, -1.67268709038, -1.99997459737, 0.272595640908, 1e-09, [nan], 2.15091921144, 1.0, nan, nan, nan, nan,0.823220014572, 0.125470876694, 9.01222229004e-05, 16:29:39  04-07-16
32, 0.225651577503, -1.9999237921, -0.586572168877, 1e-09, [nan], 2.11922113513, 1.0, 0.117283950617, -1.99794238683, -0.668724279835, 2.4802377987,0.850466012955, 0.133360862732, 0.642042160034, 16:29:41  04-07-16
33, 0.684270690444, -1.9999237921, -1.18907178784, 1e-09, [nan], 1.70789347232, 1.0, nan, nan, nan, nan,0.814918994904, 0.126658916473, 8.39233398438e-05, 16:29:42  04-07-16
34, 0.432886247015, -1.99997459737, -0.984783823604, 1e-09, [nan], 1.74383222002, 1.0, nan, nan, nan, nan,0.905187129974, 0.132009029388, 8.48770141602e-05, 16:29:43  04-07-16
35, 0.46321698928, -1.99997459737, -1.49293806838, 1e-09, [nan], 1.71456318424, 1.0, nan, nan, nan, nan,1.09452486038, 0.134731054306, 0.000118017196655, 16:29:45  04-07-16
36, -0.567825026673, -1.9999237921, 0.0947264136565, 1e-09, [nan], 2.49284205812, 1.0, 0.442386831276, -1.99794238683, -1.25308641975, 1.74038212442,1.00721502304, 0.129310131073, 0.712644815445, 16:29:47  04-07-16
37, -0.202789208962, -1.37654320988, 0.172153635117, 1e-09, [nan], 1.89161389313, 1.0, nan, nan, nan, nan,1.21678805351, 0.124112844467, 8.60691070557e-05, 16:29:48  04-07-16
38, -1.99999153246, -1.99999153246, 0.4993056614, 1e-09, [nan], 1.67162484716, 1.0, nan, nan, nan, nan,0.98694396019, 0.12317109108, 9.70363616943e-05, 16:29:49  04-07-16
39, -1.24861555657, -1.99999153246, 0.0276465308473, 1e-09, [nan], 3.08948946408, 1.0, nan, nan, nan, nan,1.02450489998, 0.124125957489, 8.79764556885e-05, 16:29:51  04-07-16
40, 0.999997177485, -1.99999717749, -1.99999153246, 1e-09, [nan], 50.9935228373, 1.0, 0.397119341564, -1.99794238683, -1.29012345679, 1.82246178348,1.07937788963, 0.13116312027, 0.816177845001, 16:29:53  04-07-16
41, 0.39320733628, -1.99997459737, -1.28824366204, 1e-09, [nan], 1.830645675, 1.0, nan, nan, nan, nan,1.05189609528, 0.12832403183, 8.70227813721e-05, 16:29:54  04-07-16
