n, x0, x1, x2, s, xa, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
1, -0.900497366568, -0.261101132179, -0.639810105682, 1e-06, 0.832503083166, [nan], 70.0790171912, 0.702303, nan, nan, nan, nan,5.29289245605e-05, 0.702073097229, 9.3936920166e-05, 12:38:14  06-07-16
2, -0.290166812373, -0.724700336406, -0.212370498113, 1e-06, 0.279655876337, [nan], 8.58797850277, 0.697172, nan, nan, nan, nan,5.48362731934e-05, 0.696966171265, 9.89437103271e-05, 12:38:15  06-07-16
3, -0.168284069245, 0.0330137011865, -0.905952960119, 1e-06, 0.340885829241, [nan], 53.1078843375, 0.698557, nan, nan, nan, nan,5.22136688232e-05, 0.698320865631, 0.000105142593384, 12:38:17  06-07-16
4, -0.0238059054831, 0.799217917795, -0.300081890321, 1e-06, 0.139642813124, [nan], 13.594047053, 0.705816, nan, nan, nan, nan,5.19752502441e-05, 0.70557808876, 0.000108957290649, 12:38:18  06-07-16
5, 0.257638843561, 0.448593984561, -0.79721326331, 1e-06, 0.633057830186, [nan], 20.9746986088, 0.700323, nan, nan, nan, nan,7.39097595215e-05, 0.700087070465, 0.000108003616333, 12:38:20  06-07-16
6, -0.420300171246, -0.616652002539, 0.842609201587, 1e-06, 0.432482614504, [nan], 1.82586673606, 0.705486, nan, nan, nan, nan,6.103515625e-05, 0.70524597168, 0.000113010406494, 12:38:21  06-07-16
7, 0.773110187148, -0.00213454612447, 0.479003018748, 1e-06, 0.914521856513, [nan], 2.04930569406, 0.704452, nan, nan, nan, nan,5.29289245605e-05, 0.704226016998, 0.000112056732178, 12:38:23  06-07-16
8, -0.203463820787, -0.99844424809, -0.500104119439, 1e-06, 0.633388802091, [nan], 10.6142787728, 0.698375, nan, nan, nan, nan,6.79492950439e-05, 0.698140144348, 0.000117778778076, 12:38:24  06-07-16
9, -0.225205070196, -0.759054461571, -0.644853278344, 1e-06, 0.860213976146, [nan], 11.3714576615, 0.715556, nan, nan, nan, nan,7.08103179932e-05, 0.715339183807, 0.000120878219604, 12:38:25  06-07-16
10, -0.0493718892408, 0.0686320789298, 0.751816434617, 1e-06, 0.149357118807, [nan], 1.738356515, 0.715712, 0.518518518519, -0.987654320988, 0.987654320988, 51.3429287823,5.00679016113e-05, 0.715471029282, 0.712771892548, 12:38:28  06-07-16
11, 0.666666666667, 0.0, -0.37037037037, 1e-06, 0.524691358025, [nan], 1.70651612778, 0.874734, 0.0, 0.0, 0.0, 6.07427117786,31.6258769035, 0.796293973923, 0.913588047028, 12:39:02  06-07-16
12, 0.666666666667, -0.444444444444, -0.37037037037, 1e-06, 0.993827160494, [nan], 1.57315014308, 0.832589, -0.998628257888, 0.995884773663, 0.244170096022, 10.6270556559,25.9199299812, 0.753987073898, 0.184643030167, 12:39:29  06-07-16
13, -0.987654320988, 0.987654320988, -0.962962962963, 1e-06, 0.734567901235, [nan], 11.1673534053, 0.853218, -0.647462277092, 0.998628257888, 0.995884773663, 60.0129210264,24.3936829567, 0.774640083313, 0.29005408287, 12:39:56  06-07-16
14, 0.37037037037, 0.987654320988, -0.716049382716, 1e-06, 0.00617283950617, [nan], 10.7235014739, 0.858373, -0.647462277092, 0.998628257888, 0.995884773663, 59.9146817369,26.1930780411, 0.779767990112, 0.320405006409, 12:40:24  06-07-16
15, 0.987654320988, 0.987654320988, -0.888888888889, 1e-06, 0.253086419753, [nan], 59.6735899789, 0.851645, -0.647462277092, 0.998628257888, 0.995884773663, 59.9454689033,22.2368710041, 0.773034095764, 0.329931974411, 12:40:48  06-07-16
16, -0.987654320988, 0.987654320988, -0.469135802469, 1e-06, 0.87037037037, [nan], 11.1775598963, 0.856643, -0.647462277092, 0.998628257888, 0.995884773663, 60.0320863272,22.1304061413, 0.778017997742, 0.333390951157, 12:41:12  06-07-16
17, 0.987654320988, 0.987654320988, -0.444444444444, 1e-06, 0.154320987654, [nan], 59.7155557538, 0.858562, -0.647462277092, 0.998628257888, 0.995884773663, 59.9329380707,26.7212588787, 0.77992606163, 0.325103998184, 12:41:40  06-07-16
18, 0.987654320988, 0.987654320988, -0.987654320988, 1e-06, 0.833333333333, [nan], 59.7713453232, 0.872232, -0.647462277092, 0.998628257888, 0.995884773663, 60.0271392221,17.6748178005, 0.793908119202, 0.361437082291, 12:42:00  06-07-16
19, -0.987654320988, 0.987654320988, 0.222222222222, 1e-06, 0.376543209877, [nan], 10.65441779, 0.890819, -0.647462277092, 0.998628257888, 0.995884773663, 59.9629102924,17.4785220623, 0.812512874603, 0.382187128067, 12:42:19  06-07-16
20, 0.987654320988, -0.962962962963, -0.987654320988, 1e-06, 0.302469135802, [nan], 47.5520279196, 0.870868, -0.647462277092, 0.998628257888, 0.995884773663, 59.9518616515,18.022808075, 0.792266845703, 0.480193138123, 12:42:40  06-07-16
21, 0.888888888889, 0.987654320988, -0.567901234568, 1e-06, 0.154320987654, [nan], 53.712486229, 0.986228, 0.998628257888, 0.625514403292, 0.998628257888, 64.1062281011,18.2072081566, 0.907554864883, 0.34751200676, 12:43:00  06-07-16
22, 0.296296296296, 0.987654320988, -0.987654320988, 1e-06, 0.993827160494, [nan], 10.6752990632, 0.856383, 0.998628257888, 0.625514403292, 0.998628257888, 64.1538471172,16.9336352348, 0.777793884277, 0.358887910843, 12:43:19  06-07-16
23, 0.296296296296, 0.987654320988, -0.716049382716, 1e-06, 0.672839506173, [nan], 10.6778999789, 0.849916, 0.998628257888, 0.625514403292, 0.998628257888, 64.1356462227,15.3075780869, 0.771269798279, 0.378265142441, 12:43:36  06-07-16
24, -0.987654320988, 0.987654320988, -0.987654320988, 1e-06, 0.611111111111, [nan], 11.1664016279, 0.880131, 0.998628257888, 0.625514403292, 0.998628257888, 64.1309714373,12.9031331539, 0.80148601532, 0.536899805069, 12:43:51  06-07-16
25, -0.987654320988, -0.962962962963, -0.987654320988, 1e-06, 0.635802469136, [nan], 27.4675824652, 0.848554, -0.589849108368, 0.998628257888, 0.995884773663, 60.0072106171,12.5887758732, 0.769927024841, 0.446958065033, 12:44:06  06-07-16
26, -0.987654320988, 0.987654320988, -0.987654320988, 1e-06, 0.87037037037, [nan], 11.1682671226, 0.915521, -0.0219478737997, -0.990397805213, 0.995884773663, 49.0184143267,13.4631750584, 0.83721280098, 0.782882213593, 12:44:22  06-07-16
27, -0.888888888889, -0.987654320988, -0.987654320988, 1e-06, 0.425925925926, [nan], 26.6688720367, 0.863047, -0.00548696844993, -0.556927297668, 0.995884773663, 49.1908088882,13.2151091099, 0.784427881241, 0.574539899826, 12:44:37  06-07-16
28, -0.222222222222, 0.987654320988, -0.987654320988, 1e-06, 0.845679012346, [nan], 11.0164071775, 0.875518, -0.631001371742, -0.998628257888, -0.995884773663, 22.9012283234,13.9233338833, 0.796895980835, 0.889049053192, 12:44:53  06-07-16
29, 0.123456790123, 0.962962962963, -0.345679012346, 1e-06, 0.635802469136, [nan], 10.9677641428, 0.90051, -0.631001371742, -0.998628257888, -0.995884773663, 22.9008509766,14.6177370548, 0.821930885315, 0.830107927322, 12:45:11  06-07-16
30, -0.123456790123, 0.987654320988, -0.592592592593, 1e-06, 0.302469135802, [nan], 10.8870296799, 0.932546, 0.998628257888, 0.625514403292, 0.998628257888, 64.1141501419,14.7175309658, 0.854255199432, 0.697148799896, 12:45:28  06-07-16
31, 0.123456790123, 0.987654320988, -0.814814814815, 1e-06, 0.00617283950617, [nan], 10.7415180909, 1.083333, 0.998628257888, 0.625514403292, 0.998628257888, 64.097698705,13.4589619637, 1.00484395027, 0.784496068954, 12:45:44  06-07-16
32, 0.0, -0.987654320988, -0.641975308642, 1e-06, 0.166666666667, [nan], 7.423804057, 0.900601, 0.998628257888, 0.625514403292, 0.998628257888, 64.1086164216,12.8209979534, 0.82195687294, 0.86302113533, 12:45:59  06-07-16
33, 0.0, -0.987654320988, -0.444444444444, 1e-06, 0.166666666667, [nan], 6.93421772788, 0.892617, 0.998628257888, 0.625514403292, 0.998628257888, 64.1086164216,12.7448070049, 0.813963890076, 0.881119966507, 12:46:14  06-07-16
34, 0.0246913580247, 0.987654320988, -0.493827160494, 1e-06, 0.388888888889, [nan], 10.8081963675, 1.05063, 0.998628257888, 0.625514403292, 0.998628257888, 64.1238358372,12.3260781765, 0.97207903862, 0.817685842514, 12:46:29  06-07-16
35, -0.320987654321, 0.962962962963, -0.987654320988, 1e-06, 0.993827160494, [nan], 11.3616823234, 0.917935, 0.998628257888, 0.628257887517, 0.995884773663, 64.1327766743,13.2858669758, 0.839293956757, 0.851329088211, 12:46:45  06-07-16
36, -0.123456790123, 0.987654320988, -0.814814814815, 1e-06, 0.179012345679, [nan], 10.9066573277, 0.881412, 0.998628257888, 0.628257887517, 0.995884773663, 64.091220805,12.1712880135, 0.803169965744, 0.728082180023, 12:47:00  06-07-16
37, 0.0987654320988, 0.962962962963, -0.345679012346, 1e-06, 0.858024691358, [nan], 11.0340425931, 0.849517, 0.998628257888, 0.628257887517, 0.995884773663, 64.121015113,10.1450650692, 0.770908117294, 0.710454940796, 12:47:12  06-07-16
38, -0.0740740740741, 0.987654320988, -0.79012345679, 1e-06, 0.253086419753, [nan], 10.9046666944, 0.854698, 0.213991769547, -0.0329218106996, 0.998628257888, 51.1525016232,10.9301221371, 0.776105880737, 0.738299131393, 12:47:25  06-07-16
39, 0.123456790123, 0.987654320988, -0.666666666667, 1e-06, 0.154320987654, [nan], 10.7630473367, 0.851137, 0.213991769547, -0.0301783264746, 0.998628257888, 51.1543261004,9.26631402969, 0.772516965866, 0.873578071594, 12:47:37  06-07-16
40, -0.987654320988, 0.962962962963, -0.987654320988, 1e-06, 0.265432098765, [nan], 11.5099091431, 0.846679, 0.216735253772, -0.0329218106996, 0.998628257888, 51.1658889068,10.2126858234, 0.76807308197, 0.770168066025, 12:47:50  06-07-16
