n, x0, x1, s, xa, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
1, -0.995268897997, -0.998785013636, 1e-12, 0.337098405027, [nan], -0.178374820131, 0.776604704591, nan, nan, nan,0.000101804733276, 0.000173091888428, 4.38690185547e-05, 17:36:18  19-07-16
2, -0.132860329693, 0.873421527122, 1e-12, 0.183502045721, [nan], -0.792082114734, 0.871424077993, nan, nan, nan,9.01222229004e-05, 0.000112056732178, 3.88622283936e-05, 17:36:18  19-07-16
3, 0.298005577235, 0.590125319423, 1e-12, 0.876343959612, [nan], 0.499582990743, 0.518270501317, nan, nan, nan,8.79764556885e-05, 0.000108957290649, 5.22136688232e-05, 17:36:18  19-07-16
4, 0.267737042329, 0.592811929005, 1e-12, 0.773067833588, [nan], 0.580933183399, 0.560009867321, nan, nan, nan,8.70227813721e-05, 0.000108957290649, 3.71932983398e-05, 17:36:18  19-07-16
5, -0.478265215873, 0.481504865833, 1e-12, 0.861478490858, [nan], 0.211233447836, 0.524081082968, nan, nan, nan,8.79764556885e-05, 0.000108003616333, 3.79085540771e-05, 17:36:18  19-07-16
6, 0.21023512335, -0.700925400657, 1e-12, 0.585826965069, [nan], -2.37361544504, 0.644442147637, nan, nan, nan,8.60691070557e-05, 0.000106811523438, 3.71932983398e-05, 17:36:18  19-07-16
7, 0.443486965043, 0.562794481391, 1e-12, 0.0307072760986, [nan], 0.855553038382, 0.977232719671, nan, nan, nan,8.70227813721e-05, 0.000107049942017, 3.60012054443e-05, 17:36:18  19-07-16
8, -0.54566639166, -0.149353854272, 1e-12, 0.756900250516, [nan], 0.202619639231, 0.566841708537, nan, nan, nan,8.60691070557e-05, 0.000115871429443, 5.41210174561e-05, 17:36:18  19-07-16
9, -0.568252870159, -0.813338112733, 1e-12, 0.301708085143, [nan], -0.672851687425, 0.797493923445, nan, nan, nan,8.70227813721e-05, 0.000108957290649, 3.81469726562e-05, 17:36:18  19-07-16
10, -0.25871249249, -0.510473363, 1e-12, 0.976652327445, [nan], -0.956913997786, 0.480710892064, nan, nan, nan,8.79764556885e-05, 0.000107049942017, 4.6968460083e-05, 17:36:18  19-07-16
11, 0.40329218107, -0.930041152263, 1e-12, 0.997942386831, [nan], -1.23275722107, 0.47309607623, 0.381953970431, -0.999949194737, -1.94994266611,21.7526760101, 0.000144958496094, 6.45263600349, 17:36:46  19-07-16
12, -0.995884773663, -0.658436213992, 1e-12, 0.997942386831, [nan], -0.373577144743, 0.47309607623, -0.99984758421, 0.999949194737, -0.357896799999,22.1291189194, 0.000135183334351, 6.46051096916, 17:37:15  19-07-16
13, 0.699588477366, -0.699588477366, 1e-12, 0.997942386831, [nan], -1.03383290135, 0.47309607623, 0.680485698318, -0.677640603567, -1.6985402791,21.2755880356, 0.000133991241455, 7.31851506233, 17:37:43  19-07-16
14, 0.337448559671, 0.411522633745, 1e-12, 0.586419753086, [nan], 1.04930407084, 0.644155698131, 0.204440380023, -0.99984758421, -1.57430601101,21.4841520786, 0.000134944915771, 6.6741809845, 17:38:11  19-07-16
15, 0.41975308642, -0.312757201646, 1e-12, 0.997942386831, [nan], -0.655425755156, 0.47309607623, -0.219478737997, 0.999949194737, -1.08471383401,20.1875319481, 0.000134944915771, 6.76864004135, 17:38:38  19-07-16
16, 0.880658436214, -0.995884773663, 1e-12, 0.664609053498, [nan], -0.910242580285, 0.607467386414, 0.0370878423005, -0.709647919524, -0.757994090032,20.9467120171, 0.000180006027222, 6.93999505043, 17:39:06  19-07-16
17, 0.995884773663, -0.650205761317, 1e-12, 0.664609053498, [nan], -0.951484197194, 0.607467386414, -0.333485749124, 0.999949194737, -1.5279326223,20.8795881271, 0.000170946121216, 6.9088768959, 17:39:34  19-07-16
18, -0.0411522633745, -0.995884773663, 1e-12, 0.582304526749, [nan], -0.764322035955, 0.64614690427, 0.181374790428, -0.703754508967, -1.75747354665,20.4179871082, 0.000133991241455, 7.0291659832, 17:40:01  19-07-16
19, -0.197530864198, -0.716049382716, 1e-12, 0.775720164609, [nan], -0.76385623942, 0.55889697594, -0.58588629782, 0.999949194737, -1.52458466959,19.7976641655, 0.000123977661133, 6.72753095627, 17:40:28  19-07-16
20, 0.378600823045, -0.699588477366, 1e-12, 0.602880658436, [nan], -2.84146588623, 0.636252047004, 0.381750749378, -0.858100899253, -2.48696057204,20.7089951038, 0.000133991241455, 6.93063402176, 17:40:56  19-07-16
21, 0.617283950617, -0.757201646091, 1e-12, 0.664609053498, [nan], -2.0623227069, 0.607467386414, 0.424020728547, -0.859218615049, -2.44790201458,20.1063199043, 0.000137090682983, 7.29131889343, 17:41:23  19-07-16
22, 0.995884773663, 0.0411522633745, 1e-12, 0.997942386831, [nan], 0.256092455538, 0.47309607623, 0.376467001981, -0.786160646243, -2.60363117271,19.7427399158, 0.000136137008667, 7.78898000717, 17:41:51  19-07-16
23, 0.551440329218, -0.526748971193, 1e-12, 0.656378600823, [nan], -1.93135731405, 0.611228782399, 0.335924401768, -0.81755829904, -2.52463558988,20.336589098, 0.000133991241455, 8.28255200386, 17:42:19  19-07-16
24, 0.411522633745, -0.650205761317, 1e-12, 0.0144032921811, [nan], -2.62838293597, 0.989255668004, 0.434791444394, -0.678859929889, -2.58030344293,20.2397329807, 0.000135898590088, 7.66160106659, 17:42:47  19-07-16
25, 0.559670781893, -0.650205761317, 1e-12, 0.00205761316872, [nan], -2.22282527737, 0.99845798026, 0.21551592745, -0.666361835086, -1.95739906575,19.4892110825, 0.000134944915771, 7.76813602448, 17:43:14  19-07-16
26, 0.329218106996, -0.609053497942, 1e-12, 0.331275720165, [nan], -3.06994553724, 0.780003563965, 0.199969516842, -0.655895950821, -1.84906389519,19.8129680157, 0.00014591217041, 7.97350406647, 17:43:42  19-07-16
27, 0.255144032922, -0.567901234568, 1e-12, 0.0102880658436, [nan], -2.09616617415, 0.992313642908, 0.321292485902, -0.777828583041, -2.52416341489,21.0487000942, 0.000135898590088, 8.27052688599, 17:44:11  19-07-16
28, 0.329218106996, -0.699588477366, 1e-12, 0.331275720165, [nan], -3.34558173189, 0.780003563965, 0.306965401616, -0.773967383021, -2.48220537034,22.4498310089, 0.000144004821777, 7.66359901428, 17:44:42  19-07-16
29, 0.329218106996, -0.888888888889, 1e-12, 0.174897119342, [nan], -3.00422561672, 0.877066169606, 0.328303612254, -0.778336635675, -2.54187218911,20.1508328915, 0.000134944915771, 7.67807197571, 17:45:09  19-07-16
30, 0.38683127572, -0.880658436214, 1e-12, 0.331275720165, [nan], -3.31077969299, 0.780003563965, 0.365493065082, -0.748158309201, -2.61187181558,20.0091609955, 0.000134944915771, 8.04353809357, 17:45:37  19-07-16
31, 0.452674897119, -0.905349794239, 1e-12, 0.146090534979, [nan], -2.72097334146, 0.896221307763, 0.335314738607, -0.738810140731, -2.56092380665,20.2419381142, 0.000135898590088, 8.11483120918, 17:46:06  19-07-16
32, 0.452674897119, -0.699588477366, 1e-12, 0.331275720165, [nan], -3.29569870805, 0.780003563965, 0.33135192806, -0.739927856526, -2.55179511136,21.5867249966, 0.000142097473145, 7.79505491257, 17:46:35  19-07-16
33, 0.427983539095, -0.600823045267, 1e-12, 0.220164609053, [nan], -3.07893671371, 0.847789032314, 0.337448559671, -0.730376467002, -2.56305571172,20.1489770412, 0.000136137008667, 7.77465486526, 17:47:03  19-07-16
34, 0.337448559671, -0.880658436214, 1e-12, 0.5, [nan], -3.09628313377, 0.687289278791, 0.331961591221, -0.738810140731, -2.5529879445,20.670979023, 0.000133991241455, 7.92078614235, 17:47:32  19-07-16
35, 0.518518518519, -0.765432098765, 1e-12, 0.220164609053, [nan], -2.94390032589, 0.847789032314, 0.343240359701, -0.732002235432, -2.57592683169,21.1430909634, 0.000138998031616, 8.02982091904, 17:48:01  19-07-16
36, 0.43621399177, -0.584362139918, 1e-12, 0.117283950617, [nan], -2.83362258411, 0.915794794421, 0.348625717624, -0.732205456485, -2.58616128804,20.7158429623, 0.000135183334351, 8.09977483749, 17:48:30  19-07-16
37, 0.337448559671, -0.954732510288, 1e-12, 0.331275720165, [nan], -2.9207420503, 0.780003563965, 0.33165675964, -0.743585835493, -2.55338597474,21.0317840576, 0.000140905380249, 8.14076113701, 17:48:59  19-07-16
38, 0.469135802469, -0.888888888889, 1e-12, 0.520576131687, [nan], -2.78616703552, 0.676764382256, 0.350759538688, -0.74561804603, -2.59240165711,21.441836834, 0.000133037567139, 8.14971899986, 17:49:28  19-07-16
39, 0.41975308642, -0.592592592593, 1e-12, 0.458847736626, [nan], -2.9481264015, 0.708832660287, 0.33165675964, -0.745821267083, -2.55379151793,21.5066828728, 0.000136137008667, 8.29516386986, 17:49:58  19-07-16
40, 0.362139917695, -0.82304526749, 1e-12, 0.0185185185185, [nan], -2.63072796833, 0.986207116744, 0.349336991312, -0.729360361733, -2.5864963232,21.5299479961, 0.000135898590088, 9.06411409378, 17:50:29  19-07-16
41, 0.518518518519, -0.724279835391, 1e-12, 0.462962962963, [nan], -2.92594617889, 0.706648277858, 0.345983843926, -0.730782909109, -2.5808566315,21.5867509842, 0.0001380443573, 8.45747709274, 17:50:59  19-07-16
42, 0.518518518519, -0.600823045267, 1e-12, 0.220164609053, [nan], -2.82768087067, 0.847789032314, 0.360920591373, -0.72915714068, -2.60408447771,21.7751090527, 0.000136137008667, 8.43102288246, 17:51:29  19-07-16
43, 0.337448559671, -0.707818930041, 1e-12, 0.150205761317, [nan], -3.09236506875, 0.893459456923, 0.35909160189, -0.724686277498, -2.60015870415,21.8069269657, 0.000134944915771, 9.40892314911, 17:52:00  19-07-16
44, 0.452674897119, -0.77366255144, 1e-12, 0.11316872428, [nan], -2.94944676638, 0.91862568798, 0.387136107301, -0.733628003861, -2.62466960226,22.319259882, 0.000144004821777, 8.63558721542, 17:52:31  19-07-16
45, -0.995884773663, 0.995884773663, 1e-12, 0.331275720165, [nan], -0.459384383886, 0.780003563965, 0.386018391505, -0.732205456485, -2.62423696925,22.3562159538, 0.000136137008667, 8.7751288414, 17:53:02  19-07-16
46, 0.493827160494, -0.674897119342, 1e-12, 0.150205761317, [nan], -2.9032570453, 0.893459456923, 0.385916780979, -0.732103845958, -2.6241944491,22.6090419292, 0.000137090682983, 8.74519395828, 17:53:34  19-07-16
47, 0.510288065844, -0.888888888889, 1e-12, 0.331275720165, [nan], -2.81198240829, 0.780003563965, 0.389168317838, -0.731290961744, -2.6247992415,23.5738780499, 0.000147104263306, 8.98607993126, 17:54:06  19-07-16
48, -0.995884773663, 0.41975308642, 1e-12, 0.00205761316872, [nan], -0.047187518538, 0.99845798026, 0.390794086267, -0.732611898593, -2.62513966198,23.033547163, 0.000136852264404, 8.87735819817, 17:54:38  19-07-16
49, 0.345679012346, -0.559670781893, 1e-12, 0.146090534979, [nan], -2.78331708137, 0.896221307763, 0.387542549408, -0.732510288066, -2.62464171661,23.1253979206, 0.000133991241455, 9.11074399948, 17:55:11  19-07-16
50, 0.246913580247, -0.814814814815, 1e-12, 0.331275720165, [nan], -3.0899705189, 0.780003563965, 0.383579738861, -0.730071635421, -2.62312790726,23.5317311287, 0.000133991241455, 9.05235600471, 17:55:43  19-07-16
51, 0.222222222222, -0.716049382716, 1e-12, 0.294238683128, [nan], -2.75938228493, 0.801974062753, 0.380633033582, -0.72915714068, -2.62166450304,23.582985878, 0.000134944915771, 9.1678750515, 17:56:16  19-07-16
52, 0.427983539095, -0.962962962963, 1e-12, 0.331275720165, [nan], -2.77190055974, 0.780003563965, 0.377178275669, -0.72915714068, -2.61970544539,23.9620771408, 0.000134944915771, 9.19814300537, 17:56:49  19-07-16
53, 0.41975308642, -0.798353909465, 1e-12, 0.228395061728, [nan], -3.32913572575, 0.842571885554, 0.38134430727, -0.730376467002, -2.62223547709,24.3557422161, 0.000134944915771, 9.35309004784, 17:57:23  19-07-16
54, 0.337448559671, -0.633744855967, 1e-12, 0.187242798354, [nan], -3.03128454218, 0.868982667926, 0.379820149367, -0.730173245948, -2.62144463616,24.3042309284, 0.000241041183472, 9.41120290756, 17:57:56  19-07-16
55, 0.43621399177, -0.510288065844, 1e-12, 0.331275720165, [nan], -2.82470292175, 0.780003563965, 0.379820149367, -0.729970024895, -2.6214033714,25.4651560783, 0.000138998031616, 9.60460591316, 17:58:32  19-07-16
56, 0.362139917695, -0.617283950617, 1e-12, 0.0514403292181, [nan], -2.68029409844, 0.962154491713, 0.379820149367, -0.729868414368, -2.62138528056,24.7671720982, 0.000134944915771, 9.23222994804, 17:59:06  19-07-16
57, 0.444444444444, -0.77366255144, 1e-12, 0.615226337449, [nan], -2.78300284348, 0.630388014541, 0.380531423055, -0.729766803841, -2.62173217675,24.2086448669, 0.000134944915771, 9.60206604004, 17:59:39  19-07-16
58, 0.452674897119, -0.666666666667, 1e-12, 0.594650205761, [nan], -2.72389421791, 0.640191675614, 0.380429812529, -0.729766803841, -2.62167922067,24.8925390244, 0.000144004821777, 9.668820858, 18:00:14  19-07-16
59, 0.469135802469, -0.82304526749, 1e-12, 0.331275720165, [nan], -3.21541952636, 0.780003563965, 0.380226591475, -0.730071635421, -2.6216343637,24.8266510963, 0.000134944915771, 9.76084589958, 18:00:48  19-07-16
60, 0.518518518519, -0.880658436214, 1e-12, 0.224279835391, [nan], -2.70329013787, 0.845176433361, 0.383376517807, -0.730376467002, -2.62310159662,25.4163119793, 0.000133991241455, 9.79913210869, 18:01:24  19-07-16
61, 0.337448559671, -0.971193415638, 1e-12, 0.224279835391, [nan], -2.69870989687, 0.845176433361, 0.37910887568, -0.727632982777, -2.62052841098,25.8286828995, 0.000134944915771, 10.1495990753, 18:02:00  19-07-16
62, 0.411522633745, -0.691358024691, 1e-12, 0.183127572016, [nan], -3.2049933206, 0.871668856417, 0.38134430727, -0.728649088046, -2.62190936964,25.8636951447, 0.000139951705933, 10.0755400658, 18:02:36  19-07-16
63, 0.41975308642, -0.617283950617, 1e-12, 0.0432098765432, [nan], -2.68500093953, 0.968112085689, 0.382766854646, -0.730071635421, -2.62280736325,26.0249938965, 0.000135898590088, 10.3200061321, 18:03:12  19-07-16
64, 0.452674897119, -0.888888888889, 1e-12, 0.253086419753, [nan], -3.01691142412, 0.827112288704, 0.383071686227, -0.72915714068, -2.62276512782,28.0037238598, 0.000164031982422, 10.3229620457, 18:03:50  19-07-16
65, 0.43621399177, -0.77366255144, 1e-12, 0.0185185185185, [nan], -2.64547145669, 0.986207116744, 0.388152212569, -0.735863435452, -2.62503729599,27.7930569649, 0.000134944915771, 10.2986061573, 18:04:28  19-07-16
66, 0.222222222222, -0.888888888889, 1e-12, 0.331275720165, [nan], -2.76912842222, 0.780003563965, 0.387237717828, -0.735558603871, -2.62484313471,26.7516689301, 0.000134944915771, 10.3237810135, 18:05:05  19-07-16
67, 0.337448559671, -0.600823045267, 1e-12, 0.520576131687, [nan], -2.78286748107, 0.676764382256, 0.386729665193, -0.735863435452, -2.62475381035,27.6372790337, 0.000133991241455, 10.4576091766, 18:05:44  19-07-16
