n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
1, 0.999118790708, 0.715420558681, 1e-09, [nan], 45.7215085924, 1.0, nan, nan, nan,7.20024108887e-05, 0.000117063522339, 4.10079956055e-05, 14:30:23  28-06-16
2, 0.595721641972, 0.223422416773, 1e-09, [nan], 6.01787840737, 1.0, nan, nan, nan,4.38690185547e-05, 7.29560852051e-05, 3.50475311279e-05, 14:30:23  28-06-16
3, -0.214508331198, -0.911604353069, 1e-09, [nan], 3.26281128637, 1.0, nan, nan, nan,4.10079956055e-05, 6.19888305664e-05, 3.19480895996e-05, 14:30:23  28-06-16
4, -0.141773007133, -0.653903162426, 1e-09, [nan], 1.42577113349, 1.0, nan, nan, nan,3.79085540771e-05, 6.38961791992e-05, 3.21865081787e-05, 14:30:23  28-06-16
5, 0.482872303694, 0.607892591544, 1e-09, [nan], 0.780197454749, 1.0, nan, nan, nan,4.00543212891e-05, 6.19888305664e-05, 3.2901763916e-05, 14:30:23  28-06-16
6, 0.0962688397026, -0.757456901141, 1e-09, [nan], 1.6154798414, 1.0, nan, nan, nan,3.981590271e-05, 6.31809234619e-05, 3.09944152832e-05, 14:30:23  28-06-16
7, 0.694499153001, 0.896459030351, 1e-09, [nan], 5.74560452526, 1.0, nan, nan, nan,3.91006469727e-05, 6.19888305664e-05, 3.19480895996e-05, 14:30:23  28-06-16
8, -0.970558869439, 0.503165134013, 1e-09, [nan], 44.2762723958, 1.0, nan, nan, nan,3.50475311279e-05, 7.41481781006e-05, 4.10079956055e-05, 14:30:23  28-06-16
9, -0.552876998618, 0.378997954093, 1e-09, [nan], 3.31680178479, 1.0, nan, nan, nan,3.69548797607e-05, 6.103515625e-05, 3.19480895996e-05, 14:30:23  28-06-16
10, 0.25019685695, -0.803216560407, 1e-09, [nan], 3.11482734006, 1.0, nan, nan, nan,3.38554382324e-05, 6.19888305664e-05, 3.09944152832e-05, 14:30:23  28-06-16
11, -0.230452674897, 0.99984758421, 1e-09, [nan], 1.35264457987, 1.0, nan, nan, nan,5.37169694901, 0.000164985656738, 5.31673431396e-05, 14:30:29  28-06-16
