n, x0, x1, x2, s, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
1, 0.195968754723, -0.896250513879, 1.90222029455e-05, 1e-09, [nan], 3.39100258291, 1.0, nan, nan, nan, nan,6.103515625e-05, 1.28945493698, 0.000119209289551, 12:00:11  06-07-16
2, 0.755967759254, 0.889525281156, -0.934301693987, 1e-09, [nan], 19.9705726095, 1.0, nan, nan, nan, nan,6.48498535156e-05, 1.25784707069, 0.000128030776978, 12:00:13  06-07-16
3, 0.586079132305, 0.49675446741, -0.666762167294, 1e-09, [nan], 2.48613170766, 1.0, nan, nan, nan, nan,6.00814819336e-05, 1.25387597084, 0.000128030776978, 12:00:16  06-07-16
4, 0.136566480395, 0.789834224253, 0.209612357888, 1e-09, [nan], 13.0371488107, 1.0, nan, nan, nan, nan,5.69820404053e-05, 0.814817905426, 0.000101089477539, 12:00:18  06-07-16
5, -0.280955557103, 0.967559487464, -0.948044536295, 1e-09, [nan], 11.307868756, 1.0, nan, nan, nan, nan,4.60147857666e-05, 1.22009301186, 0.000150203704834, 12:00:21  06-07-16
6, -0.34522052468, -0.667396703779, -0.490913384744, 1e-09, [nan], 12.7744470349, 1.0, nan, nan, nan, nan,5.69820404053e-05, 1.46214604378, 0.000150918960571, 12:00:24  06-07-16
7, 0.0523449146873, 0.472135640796, 0.212239499291, 1e-09, [nan], 18.9041343431, 1.0, nan, nan, nan, nan,6.50882720947e-05, 1.4031059742, 0.000139951705933, 12:00:27  06-07-16
8, -0.464681102874, 0.961642496688, 0.023600279164, 1e-09, [nan], 11.1443599768, 1.0, nan, nan, nan, nan,6.69956207275e-05, 1.41139698029, 0.000150203704834, 12:00:30  06-07-16
9, -0.814030617928, -0.366349600181, 0.952983260675, 1e-09, [nan], 43.3272119797, 1.0, nan, nan, nan, nan,7.39097595215e-05, 1.49509692192, 0.000162124633789, 12:00:33  06-07-16
10, 0.538533795739, -0.00106484596518, -0.495135992431, 1e-09, [nan], 2.13008056855, 1.0, nan, nan, nan, nan,5.91278076172e-05, 1.27261781693, 0.000162124633789, 12:00:35  06-07-16
11, 0.995884773663, -0.995884773663, 0.995884773663, 1e-09, [nan], 57.6408166547, 1.0, nan, nan, nan, nan,18.9973459244, 1.41760993004, 0.000172138214111, 12:00:57  06-07-16
12, 0.930041152263, 0.995884773663, 0.0, 1e-09, [nan], 57.4345710019, 1.0, 0.331961591221, -0.77914951989, -0.872427983539, 3.12214523057,14.5775640011, 1.47136712074, 0.586297035217, 12:01:15  06-07-16
13, 0.41975308642, -0.995884773663, 0.872427983539, 1e-09, [nan], 4.14080538185, 1.0, nan, nan, nan, nan,12.2947239876, 1.07814908028, 0.000167846679688, 12:01:30  06-07-16
14, 0.609053497942, -0.995884773663, 0.995884773663, 1e-09, [nan], 52.6775415476, 1.0, nan, nan, nan, nan,17.0831000805, 1.00756001472, 0.000258922576904, 12:01:49  06-07-16
15, -0.641975308642, 0.995884773663, -0.995884773663, 1e-09, [nan], 11.0935691537, 1.0, nan, nan, nan, nan,13.587731123, 1.27032899857, 0.000169992446899, 12:02:05  06-07-16
16, 0.139917695473, 0.995884773663, -0.995884773663, 1e-09, [nan], 10.653210556, 1.0, 0.455418381344, -0.995884773663, -0.850480109739, 2.4467360598,18.6507258415, 1.43943715096, 1.30907392502, 12:02:28  06-07-16
17, 0.41975308642, -0.337448559671, -0.995884773663, 1e-09, [nan], 2.53524250562, 1.0, nan, nan, nan, nan,15.7651510239, 1.36460280418, 0.000172138214111, 12:02:47  06-07-16
18, -0.0329218106996, -0.995884773663, -0.995884773663, 1e-09, [nan], 8.50499710086, 1.0, nan, nan, nan, nan,13.835308075, 1.42076802254, 0.000180006027222, 12:03:04  06-07-16
19, -0.650205761317, -0.995884773663, -0.205761316872, 1e-09, [nan], 11.469845239, 1.0, nan, nan, nan, nan,15.3768589497, 1.11777806282, 0.000204086303711, 12:03:22  06-07-16
20, 0.329218106996, 0.995884773663, -0.082304526749, 1e-09, [nan], 10.6814018722, 1.0, 0.181069958848, -0.998628257888, -0.334705075446, 4.45196605713,13.4687390327, 1.3989751339, 0.738045930862, 12:03:39  06-07-16
21, -0.510288065844, 0.337448559671, -0.995884773663, 1e-09, [nan], 32.8316705036, 1.0, nan, nan, nan, nan,10.5543179512, 1.68211197853, 0.000204086303711, 12:03:52  06-07-16
22, -0.995884773663, 0.329218106996, -0.995884773663, 1e-09, [nan], 34.3910989404, 1.0, nan, nan, nan, nan,14.4267799854, 1.40870189667, 0.000203132629395, 12:04:10  06-07-16
23, 0.543209876543, 0.37037037037, 0.115226337449, 1e-09, [nan], 1.99900731154, 1.0, nan, nan, nan, nan,15.679858923, 0.800158977509, 0.000128984451294, 12:04:27  06-07-16
24, -0.995884773663, 0.995884773663, 0.650205761317, 1e-09, [nan], 13.3871060472, 1.0, -0.710562414266, 0.995884773663, -0.941015089163, 11.1061822449,17.4507420063, 1.43433904648, 0.935012102127, 12:04:48  06-07-16
25, 0.197530864198, -0.699588477366, 0.995884773663, 1e-09, [nan], 49.6694044966, 1.0, nan, nan, nan, nan,15.205177784, 1.3841381073, 0.000197887420654, 12:05:06  06-07-16
26, -0.106995884774, -0.995884773663, 0.666666666667, 1e-09, [nan], 1.61768764842, 1.0, nan, nan, nan, nan,17.9703497887, 1.28006410599, 0.000232934951782, 12:05:27  06-07-16
27, 0.337448559671, -0.329218106996, 0.43621399177, 1e-09, [nan], 1.76042053937, 1.0, nan, nan, nan, nan,17.8982820511, 1.28950500488, 0.000146865844727, 12:05:47  06-07-16
28, 0.995884773663, 0.329218106996, 0.82304526749, 1e-09, [nan], 59.0823492872, 1.0, -0.707818930041, 0.998628257888, -0.951989026063, 11.0570294404,17.961151123, 1.40488982201, 1.04634714127, 12:06:09  06-07-16
29, -0.337448559671, 0.781893004115, 0.995884773663, 1e-09, [nan], 60.5075916252, 1.0, nan, nan, nan, nan,17.318500042, 1.34165000916, 0.000213861465454, 12:06:29  06-07-16
30, -0.995884773663, -0.995884773663, -0.748971193416, 1e-09, [nan], 24.9572750736, 1.0, nan, nan, nan, nan,15.6289019585, 1.27411603928, 0.000211000442505, 12:06:47  06-07-16
31, 0.995884773663, -0.995884773663, -0.855967078189, 1e-09, [nan], 48.2463057366, 1.0, nan, nan, nan, nan,18.9024000168, 1.37077879906, 0.000205039978027, 12:07:09  06-07-16
32, -0.148148148148, 0.995884773663, -0.337448559671, 1e-09, [nan], 10.7994901199, 1.0, -0.710562414266, 0.995884773663, -0.776406035665, 11.0823753853,16.2380900383, 1.34994792938, 1.01310801506, 12:07:29  06-07-16
33, 0.427983539095, -0.995884773663, -0.337448559671, 1e-09, [nan], 2.51033905601, 1.0, nan, nan, nan, nan,16.3462641239, 1.03247690201, 0.000144004821777, 12:07:48  06-07-16
34, -0.995884773663, 0.320987654321, -0.148148148148, 1e-09, [nan], 32.0899545687, 1.0, nan, nan, nan, nan,15.786648035, 1.54769802094, 0.000225067138672, 12:08:06  06-07-16
35, 0.567901234568, -0.995884773663, -0.995884773663, 1e-09, [nan], 1.92149470922, 1.0, nan, nan, nan, nan,16.6730790138, 1.37135314941, 0.000223875045776, 12:08:26  06-07-16
36, -0.995884773663, -0.271604938272, 0.0740740740741, 1e-09, [nan], 7.26186945946, 1.0, 0.534979423868, 0.406035665295, -0.998628257888, 2.31855536535,16.1483850479, 1.39574599266, 2.05955314636, 12:08:47  06-07-16
37, 0.995884773663, -0.106995884774, 0.559670781893, 1e-09, [nan], 53.0760658942, 1.0, nan, nan, nan, nan,18.7867479324, 1.44744706154, 0.000219106674194, 12:09:09  06-07-16
38, 0.304526748971, -0.995884773663, -0.674897119342, 1e-09, [nan], 3.52191555826, 1.0, nan, nan, nan, nan,19.5206110477, 1.47596287727, 0.000230073928833, 12:09:31  06-07-16
39, 0.995884773663, 0.995884773663, 0.37037037037, 1e-09, [nan], 61.201678948, 1.0, nan, nan, nan, nan,16.5065960884, 1.18179583549, 0.000147104263306, 12:09:50  06-07-16
40, -0.995884773663, 0.995884773663, -0.551440329218, 1e-09, [nan], 11.0588216585, 1.0, -0.153635116598, -0.998628257888, 0.279835390947, 3.31095469153,21.8016731739, 1.0303440094, 2.14152097702, 12:10:17  06-07-16
41, -0.757201646091, 0.77366255144, 0.329218106996, 1e-09, [nan], 13.3685505629, 1.0, nan, nan, nan, nan,18.7096951008, 1.5301668644, 0.000243186950684, 12:10:38  06-07-16
42, -0.0576131687243, 0.781893004115, 0.995884773663, 1e-09, [nan], 60.6970605809, 1.0, nan, nan, nan, nan,17.4976489544, 1.45750117302, 0.000236034393311, 12:10:59  06-07-16
43, 0.600823045267, -0.995884773663, 0.106995884774, 1e-09, [nan], 1.68426964865, 1.0, nan, nan, nan, nan,17.5633840561, 1.52559709549, 0.000243902206421, 12:11:19  06-07-16
44, -0.0576131687243, 0.995884773663, -0.674897119342, 1e-09, [nan], 10.7956117136, 1.0, -0.172839506173, -0.998628257888, 0.257887517147, 3.50149929893,20.1724441051, 1.29908585548, 2.40415501595, 12:11:45  06-07-16
45, 0.995884773663, 0.329218106996, 0.707818930041, 1e-09, [nan], 58.1367966569, 1.0, nan, nan, nan, nan,19.1734030247, 1.4657599926, 0.000249862670898, 12:12:07  06-07-16
46, -0.658436213992, 0.995884773663, -0.526748971193, 1e-09, [nan], 10.9880136245, 1.0, nan, nan, nan, nan,22.2931220531, 1.40429186821, 0.000257015228271, 12:12:31  06-07-16
47, 0.288065843621, -0.995884773663, 0.658436213992, 1e-09, [nan], 1.58173653871, 1.0, nan, nan, nan, nan,20.2875890732, 1.23759007454, 0.000178813934326, 12:12:54  06-07-16
48, 0.362139917695, -0.995884773663, 0.263374485597, 1e-09, [nan], 2.13739915372, 1.0, -0.153635116598, -0.998628257888, 0.213991769547, 3.80096747168,19.2935009003, 1.42691206932, 3.02989697456, 12:13:19  06-07-16
49, 0.469135802469, 0.995884773663, 0.650205761317, 1e-09, [nan], 21.9906956258, 1.0, nan, nan, nan, nan,16.6134650707, 1.29860901833, 0.000262975692749, 12:13:38  06-07-16
50, -0.213991769547, 0.337448559671, 0.43621399177, 1e-09, [nan], 2.66369049325, 1.0, nan, nan, nan, nan,20.8014891148, 1.2908949852, 0.000262022018433, 12:14:02  06-07-16
51, -0.0493827160494, 0.995884773663, 0.518518518519, 1e-09, [nan], 11.5835398416, 1.0, nan, nan, nan, nan,19.3327538967, 1.24005913734, 0.000274896621704, 12:14:24  06-07-16
52, 0.592592592593, 0.337448559671, -0.172839506173, 1e-09, [nan], 1.96934559671, 1.0, -0.219478737997, -0.998628257888, 0.263374485597, 3.53320509626,19.7791821957, 1.46266484261, 3.62854099274, 12:14:49  06-07-16
53, 0.584362139918, -0.995884773663, -0.633744855967, 1e-09, [nan], 1.85282869319, 1.0, nan, nan, nan, nan,19.8830349445, 1.44217705727, 0.00026798248291, 12:15:12  06-07-16
54, 0.411522633745, 0.995884773663, -0.748971193416, 1e-09, [nan], 10.7015328386, 1.0, nan, nan, nan, nan,21.4619829655, 1.39232897758, 0.000277042388916, 12:15:36  06-07-16
55, -0.337448559671, -0.995884773663, 0.329218106996, 1e-09, [nan], 3.15255288866, 1.0, nan, nan, nan, nan,23.9957888126, 1.37855815887, 0.000277996063232, 12:16:03  06-07-16
56, 0.164609053498, -0.995884773663, -0.40329218107, 1e-09, [nan], 4.73282531156, 1.0, 0.532235939643, -0.998628257888, -0.0082304526749, 1.90556153559,20.0874660015, 1.08004879951, 3.56788516045, 12:16:29  06-07-16
57, -0.757201646091, -0.337448559671, -0.798353909465, 1e-09, [nan], 48.5852230929, 1.0, nan, nan, nan, nan,19.3918139935, 1.2788438797, 0.000288009643555, 12:16:51  06-07-16
58, -0.156378600823, -0.995884773663, -0.0658436213992, 1e-09, [nan], 6.32693949875, 1.0, nan, nan, nan, nan,17.3963029385, 1.34011697769, 0.000283002853394, 12:17:12  06-07-16
59, -0.995884773663, -0.995884773663, 0.312757201646, 1e-09, [nan], 3.50626917613, 1.0, nan, nan, nan, nan,19.0360600948, 1.36275696754, 0.000288009643555, 12:17:33  06-07-16
60, -0.106995884774, -0.995884773663, 0.337448559671, 1e-09, [nan], 2.86782492379, 1.0, 0.463648834019, -0.222222222222, 0.194787379973, 1.89749503238,20.6480648518, 1.36466097832, 3.58219695091, 12:18:00  06-07-16
61, -0.279835390947, -0.995884773663, 0.625514403292, 1e-09, [nan], 1.71017681946, 1.0, nan, nan, nan, nan,21.401747942, 1.25565910339, 0.000272989273071, 12:18:25  06-07-16
62, 0.674897119342, 0.0411522633745, -0.452674897119, 1e-09, [nan], 1.72782082158, 1.0, nan, nan, nan, nan,24.1966941357, 1.42302393913, 0.000294923782349, 12:18:51  06-07-16
63, 0.255144032922, -0.995884773663, 0.658436213992, 1e-09, [nan], 1.58382627155, 1.0, nan, nan, nan, nan,20.9465289116, 1.69454503059, 0.000298976898193, 12:19:15  06-07-16
64, 0.995884773663, -0.181069958848, -0.271604938272, 1e-09, [nan], 49.3277477894, 1.0, 0.477366255144, -0.334705075446, 0.186556927298, 1.83462931417,20.7933220863, 1.44327807426, 3.58135986328, 12:19:43  06-07-16
65, 0.477366255144, -0.995884773663, 0.0082304526749, 1e-09, [nan], 2.08277117564, 1.0, nan, nan, nan, nan,19.1299080849, 1.36113977432, 0.000301122665405, 12:20:05  06-07-16
66, -0.666666666667, -0.995884773663, 0.172839506173, 1e-09, [nan], 4.91737088948, 1.0, nan, nan, nan, nan,18.2364099026, 1.30499005318, 0.000298976898193, 12:20:26  06-07-16
67, -0.0246913580247, -0.995884773663, -0.559670781893, 1e-09, [nan], 7.68600638112, 1.0, nan, nan, nan, nan,24.2105019093, 1.14169788361, 0.00031304359436, 12:20:53  06-07-16
68, 0.213991769547, 0.197530864198, -0.658436213992, 1e-09, [nan], 7.18272498815, 1.0, 0.458161865569, -0.334705075446, 0.230452674897, 1.83764620379,21.9591860771, 1.46324396133, 3.65087509155, 12:21:21  06-07-16
69, -0.411522633745, 0.995884773663, -0.329218106996, 1e-09, [nan], 10.861571655, 1.0, nan, nan, nan, nan,20.118448019, 1.38097786903, 0.000311136245728, 12:21:44  06-07-16
70, 0.609053497942, -0.995884773663, -0.148148148148, 1e-09, [nan], 1.73133712265, 1.0, nan, nan, nan, nan,21.5586102009, 1.39060902596, 0.000319957733154, 12:22:08  06-07-16
71, 0.995884773663, -0.181069958848, 0.0, 1e-09, [nan], 49.7586090098, 1.0, nan, nan, nan, nan,23.649572134, 1.1787238121, 0.000339031219482, 12:22:34  06-07-16
72, 0.0329218106996, -0.40329218107, 0.526748971193, 1e-09, [nan], 1.79861444002, 1.0, 0.109739368999, -0.998628257888, 0.427983539095, 2.16934534442,25.7051091194, 1.33660578728, 4.65857720375, 12:23:07  06-07-16
73, 0.584362139918, 0.995884773663, 0.0, 1e-09, [nan], 12.5980594471, 1.0, nan, nan, nan, nan,24.8327820301, 1.28696393967, 0.000334978103638, 12:23:35  06-07-16
74, -0.38683127572, -0.40329218107, 0.493827160494, 1e-09, [nan], 2.05470886591, 1.0, nan, nan, nan, nan,21.3731560707, 1.39546990395, 0.000317096710205, 12:23:59  06-07-16
75, -0.855967078189, -0.255144032922, 0.148148148148, 1e-09, [nan], 5.72166757218, 1.0, nan, nan, nan, nan,20.1372308731, 1.35892701149, 0.000325202941895, 12:24:22  06-07-16
76, 0.576131687243, -0.444444444444, 0.082304526749, 1e-09, [nan], 1.66096475302, 1.0, 0.600823045267, -0.156378600823, -0.334705075446, 1.75787289429,19.2407310009, 1.27655601501, 5.63061308861, 12:24:49  06-07-16
77, -0.411522633745, -0.995884773663, -0.082304526749, 1e-09, [nan], 8.07225222572, 1.0, nan, nan, nan, nan,23.8537728786, 1.25603103638, 0.000194072723389, 12:25:16  06-07-16
78, 0.617283950617, -0.329218106996, -0.337448559671, 1e-09, [nan], 1.66696204169, 1.0, nan, nan, nan, nan,25.6365427971, 1.42374110222, 0.000339031219482, 12:25:44  06-07-16
79, -0.995884773663, -0.995884773663, 0.106995884774, 1e-09, [nan], 5.99946461674, 1.0, nan, nan, nan, nan,17.6972079277, 1.32740497589, 0.000330924987793, 12:26:05  06-07-16
80, 0.477366255144, -0.995884773663, -0.855967078189, 1e-09, [nan], 2.32528659267, 1.0, 0.622770919067, 0.0384087791495, -0.551440329218, 1.85088845346,21.9829778671, 1.24181199074, 5.11711502075, 12:26:34  06-07-16
81, 0.609053497942, -0.296296296296, -0.77366255144, 1e-09, [nan], 1.71299583632, 1.0, nan, nan, nan, nan,21.4850211143, 1.07566690445, 0.000346183776855, 12:26:58  06-07-16
82, -0.189300411523, -0.181069958848, 0.609053497942, 1e-09, [nan], 1.70886696124, 1.0, nan, nan, nan, nan,22.6555399895, 1.38625597954, 0.000341176986694, 12:27:24  06-07-16
83, 0.691358024691, -0.707818930041, -0.600823045267, 1e-09, [nan], 1.55981658066, 1.0, nan, nan, nan, nan,20.860943079, 1.40767407417, 0.000387907028198, 12:27:48  06-07-16
84, 0.683127572016, 0.485596707819, -0.617283950617, 1e-09, [nan], 2.02934460414, 1.0, 0.644718792867, -0.112482853224, -0.600823045267, 1.68881305871,25.6719920635, 1.27076196671, 5.1714348793, 12:28:21  06-07-16
85, 0.551440329218, -0.781893004115, 0.345679012346, 1e-09, [nan], 1.60353778131, 1.0, nan, nan, nan, nan,22.7284779549, 1.48598694801, 0.000348091125488, 12:28:46  06-07-16
86, -0.148148148148, -0.995884773663, 0.477366255144, 1e-09, [nan], 2.17862899567, 1.0, nan, nan, nan, nan,20.6814210415, 1.34704184532, 0.000362157821655, 12:29:10  06-07-16
87, 0.625514403292, -0.666666666667, -0.518518518519, 1e-09, [nan], 1.6528023572, 1.0, nan, nan, nan, nan,21.6694431305, 1.37849783897, 0.00037407875061, 12:29:35  06-07-16
88, -0.995884773663, -0.995884773663, 0.567901234568, 1e-09, [nan], 1.92149470922, 1.0, 0.106995884774, -0.998628257888, 0.477366255144, 2.00385450344,25.0156579018, 1.46911692619, 4.88430905342, 12:30:07  06-07-16
89, 0.543209876543, 0.329218106996, 0.353909465021, 1e-09, [nan], 1.88374196693, 1.0, nan, nan, nan, nan,25.172533989, 1.37488603592, 0.000368118286133, 12:30:35  06-07-16
