n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
1, 0.0, 0.0, 0.0, [nan], 0.001, 1.0, nan, nan, nan,4.00543212891e-05, 4.91142272949e-05, 3.2901763916e-05, 14:21:27  17-06-16
2, -0.5, -0.5, 0.0, [nan], 7.6685, 1.0, nan, nan, nan,3.88622283936e-05, 4.41074371338e-05, 3.00407409668e-05, 14:21:27  17-06-16
3, -0.5, 0.5, 0.0, [nan], 1.4185, 1.0, nan, nan, nan,3.60012054443e-05, 3.81469726562e-05, 2.59876251221e-05, 14:21:27  17-06-16
4, 0.5, -0.5, 0.0, [nan], 7.6585, 1.0, 0.0, 0.0, 0.001,3.31401824951e-05, 3.88622283936e-05, 4.6968460083e-05, 14:21:27  17-06-16
5, 0.5, 0.5, 0.0, [nan], 1.4085, 1.0, nan, nan, nan,3.31401824951e-05, 3.69548797607e-05, 2.59876251221e-05, 14:21:27  17-06-16
6, -0.75, -0.75, 0.0, [nan], 31.751078125, 1.0, nan, nan, nan,3.31401824951e-05, 3.69548797607e-05, 2.50339508057e-05, 14:21:27  17-06-16
7, -0.75, -0.25, 0.0, [nan], 23.469828125, 1.0, nan, nan, nan,3.2901763916e-05, 3.81469726562e-05, 2.47955322266e-05, 14:21:27  17-06-16
8, -0.75, 0.25, 0.0, [nan], 16.438578125, 1.0, 0.0, 0.0, 0.001,2.59876251221e-05, 3.71932983398e-05, 3.981590271e-05, 14:21:27  17-06-16
9, -0.75, 0.75, 0.0, [nan], 10.657328125, 1.0, nan, nan, nan,2.47955322266e-05, 3.71932983398e-05, 2.38418579102e-05, 14:21:27  17-06-16
10, -0.25, -0.75, 0.0, [nan], 2.827328125, 1.0, nan, nan, nan,3.60012054443e-05, 3.60012054443e-05, 2.38418579102e-05, 14:21:27  17-06-16
11, -0.25, -0.25, 0.0, [nan], 0.796078125, 1.0, nan, nan, nan,2.59876251221e-05, 3.60012054443e-05, 2.38418579102e-05, 14:21:27  17-06-16
12, -0.25, 0.25, 0.0, [nan], 0.014828125, 1.0, 0.0, 0.0, 0.001,2.59876251221e-05, 3.60012054443e-05, 4.00543212891e-05, 14:21:27  17-06-16
13, -0.25, 0.75, 0.0, [nan], 0.483578125, 1.0, nan, nan, nan,2.8133392334e-05, 3.60012054443e-05, 2.28881835938e-05, 14:21:27  17-06-16
14, 0.25, -0.75, 0.0, [nan], 2.822328125, 1.0, nan, nan, nan,2.59876251221e-05, 3.60012054443e-05, 2.31266021729e-05, 14:21:27  17-06-16
15, 0.25, -0.25, 0.0, [nan], 0.791078125, 1.0, nan, nan, nan,2.59876251221e-05, 3.60012054443e-05, 2.28881835938e-05, 14:21:27  17-06-16
16, 0.25, 0.25, 0.0, [nan], 0.009828125, 1.0, 0.0, 0.0, 0.001,2.59876251221e-05, 3.69548797607e-05, 4.00543212891e-05, 14:21:27  17-06-16
17, 0.25, 0.75, 0.0, [nan], 0.478578125, 1.0, nan, nan, nan,2.69412994385e-05, 3.60012054443e-05, 2.50339508057e-05, 14:21:27  17-06-16
