n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
1, 0.0691229384078, 0.420886477442, 0.0, [nan], 0.107746112019, 1.0, nan, nan, nan,4.88758087158e-05, 6.50882720947e-05, 4.00543212891e-05, 15:44:39  08-06-16
2, -0.437262956688, -0.71102308249, 0.0, [nan], 0.848957333624, 1.0, nan, nan, nan,3.19480895996e-05, 4.38690185547e-05, 4.31537628174e-05, 15:44:39  08-06-16
3, 0.486471410911, -0.749634613615, 0.0, [nan], 0.958533410287, 1.0, nan, nan, nan,3.00407409668e-05, 4.19616699219e-05, 2.69412994385e-05, 15:44:39  08-06-16
4, -0.0348771892084, -0.899419043861, 0.0, [nan], 1.00005484356, 1.0, nan, nan, nan,4.10079956055e-05, 5.00679016113e-05, 4.60147857666e-05, 15:44:39  08-06-16
5, 0.129568140192, 0.99836387346, 0.0, [nan], 0.823845552091, 1.0, nan, nan, nan,3.40938568115e-05, 4.79221343994e-05, 4.31537628174e-05, 15:44:39  08-06-16
6, -0.112473335561, 0.197031268773, 0.0, [nan], 0.0220653183319, 1.0, nan, nan, nan,3.40938568115e-05, 4.10079956055e-05, 3.00407409668e-05, 15:44:39  08-06-16
7, -0.117294653329, -0.696125994721, 0.0, [nan], 0.64757463517, 1.0, nan, nan, nan,3.60012054443e-05, 6.69956207275e-05, 2.69412994385e-05, 15:44:39  08-06-16
8, 0.693756225031, -0.868335907508, 0.0, [nan], 1.41897212954, 1.0, nan, nan, nan,6.00814819336e-05, 5.19752502441e-05, 2.78949737549e-05, 15:44:39  08-06-16
9, 0.0906354282756, -0.135118238836, 0.0, [nan], 0.0634953670919, 1.0, nan, nan, nan,3.2901763916e-05, 3.91006469727e-05, 2.69412994385e-05, 15:44:39  08-06-16
10, 0.30049003387, 0.71367723627, 0.0, [nan], 0.466894010771, 1.0, 0.000711273687954, 0.100594421582, 8.59247276413e-07,3.00407409668e-05, 3.88622283936e-05, 0.180139064789, 15:44:39  08-06-16
11, 0.771502444636, 0.648831443072, 0.0, [nan], 0.896431974983, 1.0, 0.0, 0.100187979475, 3.53362828985e-08,5.19752502441e-05, 5.91278076172e-05, 0.195663928986, 15:44:39  08-06-16
12, 0.826933608649, -0.992372698074, 0.0, [nan], 1.87709730461, 1.0, 0.0, 0.100086368948, 7.45959514806e-09,4.79221343994e-05, 5.50746917725e-05, 0.199177980423, 15:44:39  08-06-16
13, -0.382112441325, -0.254277959746, 0.0, [nan], 0.271522790577, 1.0, 0.000101610526851, 0.099984758421, 1.05570048981e-08,4.81605529785e-05, 5.48362731934e-05, 0.430005073547, 15:44:40  08-06-16
14, 0.613380115443, -0.824145860459, 0.0, [nan], 1.23028073742, 1.0, 0.000101610526851, 0.099984758421, 1.05570048981e-08,4.79221343994e-05, 5.50746917725e-05, 0.23067688942, 15:44:40  08-06-16
15, -0.251619672784, 0.454643557264, 0.0, [nan], 0.189084512441, 1.0, 0.000101610526851, 0.099984758421, 1.05570048981e-08,4.6968460083e-05, 5.3882598877e-05, 0.311378002167, 15:44:40  08-06-16
16, 0.266252715559, 0.44457248718, 0.0, [nan], 0.189620707464, 1.0, -0.000101610526851, 0.099984758421, 1.05570048981e-08,4.79221343994e-05, 5.50746917725e-05, 0.264349937439, 15:44:40  08-06-16
17, -0.0765730653194, -0.0413530564324, 0.0, [nan], 0.0258441208952, 1.0, -0.000101610526851, 0.099984758421, 1.05570048981e-08,4.81605529785e-05, 5.48362731934e-05, 0.298149108887, 15:44:41  08-06-16
18, -0.108969627761, -0.8125291394, 0.0, [nan], 0.844583810028, 1.0, 0.0, 0.100086368948, 7.45959514806e-09,4.79221343994e-05, 5.50746917725e-05, 0.300088882446, 15:44:41  08-06-16
19, -0.440268928232, 0.356118736851, 0.0, [nan], 0.259433536533, 1.0, -0.000304831580552, 0.099984758421, 9.31545982329e-08,4.81605529785e-05, 5.3882598877e-05, 0.374101161957, 15:44:41  08-06-16
20, -0.848438739458, 0.142994779278, 0.0, [nan], 0.721696845659, 1.0, -0.000304831580552, 0.099984758421, 9.31545982329e-08,4.91142272949e-05, 5.48362731934e-05, 0.37499499321, 15:44:42  08-06-16
21, 0.910881323071, -0.364757755917, 0.0, [nan], 1.0457045564, 1.0, -0.000304831580552, 0.099984758421, 9.31545982329e-08,5.29289245605e-05, 5.91278076172e-05, 0.374316930771, 15:44:42  08-06-16
22, -0.57157757213, -0.490509710303, 0.0, [nan], 0.675402638925, 1.0, -0.000203221053701, 0.099984758421, 4.15311023987e-08,5.19752502441e-05, 6.00814819336e-05, 0.397840976715, 15:44:42  08-06-16
23, 0.350552181318, -0.735343324031, 0.0, [nan], 0.820685300829, 1.0, -0.000203221053701, 0.099984758421, 4.15311023987e-08,5.10215759277e-05, 5.79357147217e-05, 0.524327039719, 15:44:43  08-06-16
24, -0.540310112723, 0.801030104159, 0.0, [nan], 0.783378224848, 1.0, -0.000203221053701, 0.099984758421, 4.15311023987e-08,4.79221343994e-05, 5.3882598877e-05, 0.507886171341, 15:44:43  08-06-16
25, -0.6760869437, -0.6712522884, 0.0, [nan], 1.0519236478, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,4.91142272949e-05, 5.3882598877e-05, 0.584406137466, 15:44:44  08-06-16
26, -0.296865985973, 0.153428461653, 0.0, [nan], 0.0909840141423, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,4.88758087158e-05, 5.41210174561e-05, 0.621680021286, 15:44:45  08-06-16
27, -0.109359745399, 0.988717233339, 0.0, [nan], 0.801777874747, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,5.69820404053e-05, 6.19888305664e-05, 0.580704927444, 15:44:45  08-06-16
28, 0.448688328676, -0.643228244193, 0.0, [nan], 0.753709439256, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,5.19752502441e-05, 5.81741333008e-05, 0.532673835754, 15:44:46  08-06-16
29, -0.790698454413, -0.51554957022, 0.0, [nan], 1.00410531921, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,5.19752502441e-05, 5.88893890381e-05, 0.651333093643, 15:44:46  08-06-16
30, 0.628478694794, 0.791408602218, 0.0, [nan], 0.873031325031, 1.0, -0.000304831580552, 0.099984758421, 9.31545982329e-08,5.29289245605e-05, 6.103515625e-05, 0.817102909088, 15:44:47  08-06-16
31, 0.38986307881, -0.175952731899, 0.0, [nan], 0.228143130462, 1.0, 0.0, 0.0998831478941, 1.36544146481e-08,4.81605529785e-05, 5.60283660889e-05, 0.988447904587, 15:44:48  08-06-16
32, -0.518565510955, 0.614206732943, 0.0, [nan], 0.533318753356, 1.0, 0.0, 0.0998831478941, 1.36544146481e-08,5.19752502441e-05, 6.00814819336e-05, 0.77182507515, 15:44:49  08-06-16
33, 0.00104960515793, 0.846949215765, 0.0, [nan], 0.557934232603, 1.0, 0.000101610526851, 0.099984758421, 1.05570048981e-08,4.6968460083e-05, 5.50746917725e-05, 0.69531083107, 15:44:50  08-06-16
34, -0.307938841305, 0.987465468563, 0.0, [nan], 0.882421287875, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,5.10215759277e-05, 5.79357147217e-05, 0.723994970322, 15:44:50  08-06-16
35, 0.463899506912, -0.143518157868, 0.0, [nan], 0.274503845724, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,4.6968460083e-05, 5.3882598877e-05, 0.709262132645, 15:44:51  08-06-16
36, -0.381291033732, 0.954673671363, 0.0, [nan], 0.875849936925, 1.0, 0.000304831580552, 0.099984758421, 9.3154598233e-08,4.88758087158e-05, 5.50746917725e-05, 0.787863016129, 15:44:52  08-06-16
37, -0.74802596873, 0.0692114139801, 0.0, [nan], 0.560490786924, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,4.79221343994e-05, 5.50746917725e-05, 0.84606385231, 15:44:53  08-06-16
38, -0.937763752801, 0.64127028472, 0.0, [nan], 1.17237437719, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,4.79221343994e-05, 5.41210174561e-05, 0.822577953339, 15:44:54  08-06-16
39, 0.379743540485, -0.326584314302, 0.0, [nan], 0.326179333748, 1.0, 0.0, 0.0998831478941, 1.36544146481e-08,5.00679016113e-05, 5.3882598877e-05, 0.879391908646, 15:44:55  08-06-16
40, -0.532928512237, 0.00515750806461, 0.0, [nan], 0.293007897432, 1.0, 0.0, 0.099984758421, 2.3230573125e-10,4.72068786621e-05, 5.48362731934e-05, 0.962350130081, 15:44:55  08-06-16
41, -0.4615738376, -0.701179586189, 0.0, [nan], 0.854939136883, 1.0, -0.000101610526851, 0.099984758421, 1.05570048981e-08,4.79221343994e-05, 5.50746917725e-05, 0.84194278717, 15:44:56  08-06-16
42, 0.577260774675, -0.097953845237, 0.0, [nan], 0.372415726822, 1.0, 0.000304831580552, 0.099984758421, 9.3154598233e-08,4.98294830322e-05, 5.50746917725e-05, 0.972009897232, 15:44:57  08-06-16
43, -0.631662888628, 0.308496007438, 0.0, [nan], 0.442468589988, 1.0, 0.000304831580552, 0.099984758421, 9.3154598233e-08,4.79221343994e-05, 5.41210174561e-05, 0.875241994858, 15:44:58  08-06-16
44, -0.546040185702, 0.867180975074, 0.0, [nan], 0.886726532917, 1.0, 0.000304831580552, 0.099984758421, 9.3154598233e-08,4.91142272949e-05, 5.3882598877e-05, 1.08698105812, 15:44:59  08-06-16
