n, x0, x1, x2, xa,y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
0,0.675886174215,0.239718176531,0.929799129442,0.602066940262,-2.78815876827,386.029209654,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.0031219999655149877,0.0009910000371746719,7.90000194683671e-05,08:32:07  20-02-17
1,0.108219090554,-0.471140964461,-0.913352430346,0.526809441346,0.253406081464,496.167632063,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.0021569999516941607,0.0009459999855607748,3.700004890561104e-05,08:32:07  20-02-17
2,0.566580000359,0.10113188087,-0.719209274193,0.451544993496,0.206325600099,625.348862188,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.0019969999557361007,0.0008660000166855752,3.600004129111767e-05,08:32:07  20-02-17
3,0.793615561922,-0.880888495918,0.484662170338,0.602066940262,0.253423723737,386.029209654,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.0018400000408291817,0.0008529999759048223,4.199997056275606e-05,08:32:07  20-02-17
4,0.83050736051,-0.668061256534,-0.840369884055,0.526809441346,0.255065338939,496.167632063,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.002044999971985817,0.0009360000258311629,4.0000013541430235e-05,08:32:07  20-02-17
5,-0.0862290980553,-0.791655547733,-0.899687472149,0.451544993496,0.205713370802,625.348862188,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.0020039999508298934,0.0009360000258311629,5.500001134350896e-05,08:32:07  20-02-17
6,-0.463675468998,-0.75423490514,0.57561118384,0.602066940262,0.173863736258,386.029209654,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.0023250000085681677,0.0009449999779462814,4.800001624971628e-05,08:32:07  20-02-17
7,0.628289413546,-0.578337529983,0.635348493311,0.526809441346,-0.0968865723281,496.167632063,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.002103000006172806,0.0009710000013001263,4.099996294826269e-05,08:32:07  20-02-17
8,-0.674586569292,0.553761553257,0.555623293011,0.451544993496,-2.19530581395,625.348862188,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.0020100000547245145,0.0009289999725297093,2.9999995604157448e-05,08:32:07  20-02-17
9,-0.917170297141,-0.36010570086,-0.860830622892,0.602066940262,0.290263563027,386.029209654,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.001694000035058707,0.0007430000114254653,6.399996345862746e-05,08:32:07  20-02-17
10,0.38665943392,-0.019266229298,-0.0717894896229,0.526809441346,-0.0354969074244,496.167632063,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.002013999968767166,0.0009950000094249845,4.499999340623617e-05,08:32:07  20-02-17
11,0.700983679704,0.631776213592,0.215572457503,0.451544993496,-0.0964689224288,625.348862188,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.001961000030860305,0.0009319999953731894,4.0000013541430235e-05,08:32:07  20-02-17
12,0.568345949764,0.343614250148,-0.27598689627,0.602066940262,0.241809461238,386.029209654,0.6758861742151181,0.23971817653108896,0.9297991294416232,-2.48607233495,0.0019519999623298645,0.0008449999731965363,5.100003909319639e-05,08:32:07  20-02-17
