n, x0, x1, x2, x3, x4, x5, xa,y, c, rx0, rx1, rx2, rx3, rx4, rx5, truey at xrecc, taq, tev, trc, realtime
0,0.693612362039,-0.560589829704,0.594989712942,-0.672584175338,-0.747077963387,-0.631078775813,0.602066940262,0.284915051163,386.029209654,-0.046541693546918506,-0.07139307403742223,-0.03696676670768806,-0.33126789081346475,0.1835944662491149,-0.8277303208429716,-0.427027516068,0.002930999999999795,0.0009679999999998579,3.900000000012227e-05,02:08:26  24-02-17
1,-0.0465416935469,-0.0713930740374,-0.0369667667077,-0.331267890813,0.183594466249,-0.827730320843,0.526809441346,-0.0562802263501,496.167632063,0.6999906988464473,-0.5544919688106595,-0.009023030902699958,-0.8748570613613895,-0.22008995351595084,0.3932384791909105,-0.500535189278,0.0024650000000003836,0.0009139999999998594,3.399999999986747e-05,02:08:26  24-02-17
2,0.699990698846,-0.554491968811,-0.0090230309027,-0.874857061361,-0.220089953516,0.393238479191,0.451544993496,-0.302466796676,625.348862188,0.7456783288398425,-0.3912392046085491,0.26448633004154143,0.5147765617121856,-0.38669805070928276,0.8979122126764938,-0.402941595732,0.0020080000000000098,0.0009510000000001462,3.0999999999892225e-05,02:08:26  24-02-17
3,0.74567832884,-0.391239204609,0.264486330042,0.514776561712,-0.386698050709,0.897912212676,0.602066940262,-0.389639260544,386.029209654,0.7456783288398425,-0.3912392046085491,0.26448633004154143,0.5147765617121856,-0.38669805070928276,0.8979122126764938,-0.402941595732,0.0019320000000000448,0.000904000000000238,3.299999999972769e-05,02:08:26  24-02-17
4,0.541567361198,0.220646961329,-0.720104876922,-0.877657191224,0.315963622558,0.231978061913,0.526809441346,0.0833692089477,496.167632063,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0019719999999998628,0.0009440000000000559,3.399999999986747e-05,02:08:26  24-02-17
5,-0.212489403017,0.701475943657,0.588606536409,-0.552304496165,-0.987323715183,-0.941736886323,0.451544993496,-0.742183601521,625.348862188,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0019320000000000448,0.0009419999999997763,3.300000000017178e-05,02:08:26  24-02-17
6,0.523166728957,-0.799692886066,-0.137847645542,-0.663137389262,-0.869133136971,-0.0488216794525,0.602066940262,0.240013300186,386.029209654,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0019780000000002573,0.0009539999999996773,3.2000000000032e-05,02:08:26  24-02-17
7,0.905140540413,-0.43014350722,-0.840217403705,0.731878057896,-0.328040333377,0.539543276939,0.526809441346,0.254472834453,496.167632063,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018720000000000958,0.0009209999999999496,3.2000000000032e-05,02:08:26  24-02-17
8,-0.0130936685661,-0.925264458939,0.966094658299,0.770956308957,-0.557703260795,0.92967311198,0.451544993496,0.162779240128,625.348862188,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018729999999997915,0.0009019999999999584,3.300000000017178e-05,02:08:26  24-02-17
9,0.936268827596,-0.865740972265,0.460080064135,0.16350905125,-0.611813942893,0.930172158342,0.602066940262,0.125884535613,386.029209654,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018929999999999225,0.0008930000000000327,3.300000000017178e-05,02:08:26  24-02-17
10,-0.0310956812797,0.0387890063146,0.749658529378,0.424138320511,0.957349063687,-0.0349934294382,0.526809441346,0.249865633983,496.167632063,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018890000000002516,0.0008909999999997531,3.6999999999842714e-05,02:08:26  24-02-17
11,-0.769855776547,0.392474790622,-0.317893326085,-0.456192548102,0.0793603115046,-0.693030903712,0.451544993496,-0.234140910587,625.348862188,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018800000000003259,0.0008980000000002875,3.299999999972769e-05,02:08:26  24-02-17
12,0.135225033959,-0.498521323337,-0.180551471584,-0.846163703197,-0.816591890945,-0.714440872748,0.602066940262,0.268245037422,386.029209654,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.001878999999999742,0.0008990000000004272,3.399999999986747e-05,02:08:26  24-02-17
13,-0.038397087948,-0.914801823661,-0.66960309579,-0.344489629792,-0.562938025716,-0.708301098992,0.526809441346,0.107303332288,496.167632063,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018679999999999808,0.0009019999999999584,4.099999999995774e-05,02:08:26  24-02-17
