settlement_date,settlement_period,indo,england_wales,embedded_wind,embedded_solar,non_bm_stor,i014_demand,i014_TGSD,pumping,french_import,britned_import,moyle_import,east_west_import
1/1/2015 00:00:00,1,28659.00,26351.00,1866.00,0.00,0.00,28840.68,29005.09,-19.60,1002.73,854.30,-24.70,-120.70
1/1/2015 00:00:00,2,29327.00,27001.00,1816.00,0.00,0.00,29373.32,29518.06,-23.74,996.99,903.11,2.50,-120.70
1/1/2015 00:00:00,3,29080.00,26874.00,1816.00,0.00,0.00,29051.05,29737.28,-483.98,1163.92,887.90,-53.00,-120.70
1/1/2015 00:00:00,4,27918.00,25824.00,1878.00,0.00,0.00,27880.91,28585.45,-608.66,1163.92,864.31,-39.90,-56.46
1/1/2015 00:00:00,5,26756.00,24752.00,1878.00,0.00,0.00,26748.72,27939.27,-1166.62,1273.12,881.10,-82.10,-7.42
1/1/2015 00:00:00,6,26213.00,24236.00,1859.00,0.00,0.00,26161.26,27389.38,-1338.66,1272.63,876.30,-82.10,-6.22
1/1/2015 00:00:00,7,25165.00,23239.00,1859.00,0.00,0.00,25204.14,26857.95,-1552.10,270.20,876.72,-90.40,35.24
1/1/2015 00:00:00,8,24082.00,22270.00,1880.00,0.00,0.00,24180.54,26066.79,-1739.20,222.88,876.32,-150.00,112.51
1/1/2015 00:00:00,9,23267.00,21543.00,1880.00,0.00,0.00,23447.15,26394.71,-1733.22,-1026.16,876.71,-151.40,211.32
1/1/2015 00:00:00,10,22932.00,21249.00,1750.00,0.00,0.00,23005.96,25942.06,-1722.72,-1026.26,876.31,-150.60,268.58
1/1/2015 00:00:00,11,22662.00,21043.00,1750.00,0.00,0.00,22715.47,25069.31,-1868.14,-360.57,876.71,-89.10,273.71
1/1/2015 00:00:00,12,22624.00,20936.00,1719.00,0.00,0.00,22705.53,25064.53,-1990.80,-360.77,876.32,43.10,273.57
1/1/2015 00:00:00,13,23059.00,21329.00,1719.00,0.00,0.00,23163.55,25646.90,-2004.10,-440.79,876.72,122.30,273.73
1/1/2015 00:00:00,14,23376.00,21655.00,1880.00,0.00,0.00,23426.57,25848.00,-1944.06,-441.10,876.31,181.20,273.78
1/1/2015 00:00:00,15,23688.00,21942.00,1880.00,0.00,0.00,23740.81,25833.68,-1533.70,-586.17,838.71,181.20,273.57
1/1/2015 00:00:00,16,23543.00,21874.00,1832.00,0.00,0.00,23580.80,25501.77,-1406.78,-586.38,838.32,181.20,273.56
1/1/2015 00:00:00,17,23999.00,22278.00,1832.00,7.00,0.00,24043.17,25684.43,-729.26,-985.90,854.74,181.20,273.41
1/1/2015 00:00:00,18,24964.00,23202.00,1868.00,14.00,0.00,24969.24,26140.00,-577.90,-985.39,854.33,181.20,273.63
1/1/2015 00:00:00,19,26362.00,24497.00,1868.00,40.00,0.00,26406.97,26589.08,-683.12,-11.21,999.53,181.20,273.59
1/1/2015 00:00:00,20,27838.00,25810.00,2048.00,66.00,0.00,27877.99,27935.23,-671.68,34.99,999.52,181.20,245.60
1/1/2015 00:00:00,21,29429.00,27260.00,2048.00,106.00,0.00,29414.68,29424.76,-670.44,1275.50,999.53,178.20,246.62
1/1/2015 00:00:00,22,30641.00,28337.00,2159.00,147.00,0.00,30655.18,30667.20,-430.18,1275.30,999.54,151.10,209.10
1/1/2015 00:00:00,23,31857.00,29381.00,2159.00,170.00,0.00,31849.53,31861.91,-175.62,1471.87,992.73,97.40,201.90
1/1/2015 00:00:00,24,32830.00,30221.00,2468.00,194.00,0.00,32798.29,32810.75,-147.76,1479.09,984.74,37.20,171.74
1/1/2015 00:00:00,25,33663.00,30971.00,2468.00,197.00,0.00,33610.87,33676.57,-10.70,1479.18,1020.33,-55.00,110.99
1/1/2015 00:00:00,26,34061.00,31305.00,2522.00,199.00,0.00,34014.36,34076.60,-8.48,1478.99,1006.74,-55.10,44.55
1/1/2015 00:00:00,27,34156.00,31382.00,2522.00,179.00,0.00,34072.78,34199.86,-8.68,1479.09,972.73,-118.30,42.36
1/1/2015 00:00:00,28,34148.00,31381.00,2622.00,159.00,0.00,34069.94,34165.10,-4.52,1479.18,989.94,-91.10,11.10
1/1/2015 00:00:00,29,34147.00,31407.00,2622.00,131.00,0.00,34076.00,34187.34,-7.92,1479.09,986.33,-74.30,-28.70
1/1/2015 00:00:00,30,34172.00,31424.00,2545.00,102.00,0.00,34092.55,34230.32,-8.06,1479.18,1011.14,-74.10,-55.96
1/1/2015 00:00:00,31,34507.00,31723.00,2545.00,69.00,0.00,34439.77,34599.52,-8.34,1479.38,999.94,-95.80,-56.02
1/1/2015 00:00:00,32,35229.00,32380.00,2677.00,36.00,7.00,35193.86,35261.57,-11.98,1478.99,1003.93,17.60,-56.02
1/1/2015 00:00:00,33,36740.00,33750.00,2677.00,18.00,32.00,36685.12,36758.51,-18.02,1479.18,1011.94,59.30,-56.04
1/1/2015 00:00:00,34,38069.00,35001.00,2706.00,1.00,32.00,38015.73,38094.81,-14.40,1479.09,1025.13,50.90,-64.04
1/1/2015 00:00:00,35,38613.00,35626.00,2706.00,0.00,32.00,38551.43,38719.53,-16.56,1479.18,971.93,-44.20,-106.78
1/1/2015 00:00:00,36,38163.00,35311.00,2639.00,0.00,23.00,38098.41,38321.97,-16.56,1479.28,1011.93,-100.10,-106.76
1/1/2015 00:00:00,37,37474.00,34741.00,2639.00,0.00,0.00,37395.58,37608.42,-6.14,1479.09,1025.93,-100.20,-106.82
1/1/2015 00:00:00,38,36643.00,33910.00,2762.00,0.00,0.00,36592.66,36772.31,-15.08,1476.02,1014.33,-100.10,-64.88
1/1/2015 00:00:00,39,35668.00,33031.00,2762.00,0.00,0.00,35579.60,35720.66,-12.44,1304.65,1020.33,-100.10,-29.38
1/1/2015 00:00:00,40,34893.00,32296.00,2742.00,0.00,0.00,34724.51,34839.08,-14.58,1304.75,997.54,-100.10,10.31
1/1/2015 00:00:00,41,33984.00,31412.00,2742.00,0.00,0.00,33901.47,34014.23,-7.98,1304.95,1004.33,-100.10,42.53
1/1/2015 00:00:00,42,32700.00,30328.00,2721.00,0.00,0.00,32648.21,32758.70,-8.18,1304.85,1005.93,-100.20,85.39
1/1/2015 00:00:00,43,31374.00,29091.00,2721.00,0.00,0.00,31313.73,31426.58,-12.82,1180.03,993.54,-100.10,157.49
1/1/2015 00:00:00,44,30155.00,27949.00,2791.00,0.00,0.00,30121.02,30232.54,-10.28,1179.63,1008.73,-100.10,227.87
1/1/2015 00:00:00,45,29002.00,26808.00,2791.00,0.00,0.00,28969.82,29333.78,-12.68,-281.53,1008.33,-41.50,268.59
1/1/2015 00:00:00,46,28048.00,25839.00,2825.00,0.00,0.00,27973.49,28303.98,-20.74,-278.92,1008.73,51.20,273.52
1/1/2015 00:00:00,47,26316.00,24189.00,2825.00,0.00,0.00,26245.94,26555.45,-21.50,-257.27,920.34,124.00,273.28
1/1/2015 00:00:00,48,25323.00,23263.00,2846.00,0.00,0.00,25260.67,25978.64,-429.96,-257.27,921.14,151.10,273.44
2/1/2015 00:00:00,1,25137.00,23106.00,2814.00,0.00,0.00,25050.61,25599.32,-591.16,161.99,888.33,151.10,273.41
2/1/2015 00:00:00,2,25251.00,23271.00,2804.00,0.00,0.00,25113.74,25731.65,-660.36,161.74,893.94,151.20,273.64
2/1/2015 00:00:00,3,24819.00,22935.00,2804.00,0.00,0.00,24760.85,26180.89,-1133.28,-252.92,895.14,151.10,273.66
2/1/2015 00:00:00,4,24151.00,22364.00,2765.00,0.00,0.00,24038.91,25877.18,-1588.14,-253.43,872.74,151.20,273.64
2/1/2015 00:00:00,5,23530.00,21790.00,2765.00,0.00,0.00,23473.25,25836.19,-1731.78,-597.51,815.12,151.10,273.63
2/1/2015 00:00:00,6,23473.00,21694.00,2686.00,0.00,0.00,23336.89,25904.37,-1936.32,-597.51,820.32,151.20,273.75
2/1/2015 00:00:00,7,22768.00,20990.00,2686.00,0.00,0.00,22699.32,25736.65,-2214.06,-786.39,424.39,151.10,273.44
2/1/2015 00:00:00,8,22281.00,20524.00,2718.00,0.00,0.00,22146.94,25186.13,-2215.92,-786.69,392.00,84.40,273.70
2/1/2015 00:00:00,9,21885.00,20179.00,2718.00,0.00,0.00,21752.12,25286.87,-2196.54,-1305.59,331.21,50.90,273.65
2/1/2015 00:00:00,10,21888.00,20163.00,2700.00,0.00,0.00,21737.22,25093.73,-2167.94,-1305.39,337.21,51.00,273.60
2/1/2015 00:00:00,11,22178.00,20466.00,2700.00,0.00,0.00,22215.36,25656.40,-1815.62,-1505.10,305.61,51.00,273.76
2/1/2015 00:00:00,12,22938.00,21138.00,2617.00,0.00,0.00,22988.43,25797.04,-1247.32,-1395.74,312.01,50.50,207.36
2/1/2015 00:00:00,13,24646.00,22801.00,2617.00,0.00,0.00,24620.11,24917.05,-481.68,123.83,316.40,-8.60,60.66
2/1/2015 00:00:00,14,26021.00,24140.00,2491.00,0.00,0.00,26031.58,26094.25,-86.74,124.92,337.19,-27.60,-17.96
2/1/2015 00:00:00,15,27893.00,25955.00,2491.00,0.00,0.00,27881.09,28013.61,-16.60,881.36,889.11,-75.00,-41.02
2/1/2015 00:00:00,16,29216.00,27300.00,2446.00,6.00,0.00,29149.58,29282.12,-16.74,879.58,890.72,-75.00,-41.04
2/1/2015 00:00:00,17,30639.00,28595.00,2446.00,12.00,0.00,30782.66,30947.29,-18.10,999.37,930.73,-56.40,-91.90
2/1/2015 00:00:00,18,32160.00,30038.00,2432.00,18.00,0.00,32260.59,32406.51,-9.98,999.17,913.14,-55.00,-78.10
2/1/2015 00:00:00,19,33672.00,31434.00,2432.00,137.00,0.00,33819.47,34101.93,-11.92,1380.16,1030.34,-86.00,-179.98
2/1/2015 00:00:00,20,34324.00,31980.00,2487.00,257.00,0.00,34461.20,34790.57,-16.50,1379.96,995.54,-120.20,-192.52
2/1/2015 00:00:00,21,34821.00,32294.00,2487.00,433.00,0.00,34843.98,35021.77,-13.32,1379.76,988.74,-84.30,-80.68
2/1/2015 00:00:00,22,34918.00,32267.00,2391.00,609.00,0.00,34979.26,35123.38,-12.12,1379.86,993.13,-80.20,-51.90
2/1/2015 00:00:00,23,35263.00,32429.00,2391.00,775.00,0.00,35155.40,35300.00,-10.14,1477.50,993.53,-80.10,-51.88
2/1/2015 00:00:00,24,35305.00,32394.00,2483.00,942.00,0.00,35202.47,35402.41,-10.30,1479.48,1001.54,-80.10,-107.86
2/1/2015 00:00:00,25,35304.00,32303.00,2483.00,958.00,0.00,35366.45,35731.13,-10.00,1479.28,1008.74,-114.10,-238.06
2/1/2015 00:00:00,26,35237.00,32193.00,2527.00,975.00,0.00,35296.02,35767.46,-8.44,1479.38,1005.95,-131.10,-330.94
2/1/2015 00:00:00,27,35171.00,32180.00,2527.00,887.00,0.00,35211.91,35826.59,-6.74,1479.38,1018.35,-206.40,-400.46
2/1/2015 00:00:00,28,35191.00,32274.00,2391.00,798.00,0.00,35276.46,35854.56,-6.48,1479.28,1015.55,-162.70,-406.56
2/1/2015 00:00:00,29,35502.00,32686.00,2391.00,668.00,0.00,35681.47,36264.91,-2.64,1479.58,1021.15,-173.60,-406.64
2/1/2015 00:00:00,30,35934.00,33047.00,2146.00,538.00,0.00,36051.89,36693.39,-7.50,1479.38,1023.15,-226.60,-406.42
2/1/2015 00:00:00,31,36579.00,33627.00,2146.00,362.00,0.00,36722.07,37366.53,-10.46,1479.38,1013.95,-226.50,-406.20
