X1,X2,X3,X4,X5,X6,X7,X8,Y2
0.98,514.50,294.00,110.25,7.00,2,0.00,0,21.33
0.98,514.50,294.00,110.25,7.00,3,0.00,0,21.33
0.98,514.50,294.00,110.25,7.00,4,0.00,0,21.33
0.98,514.50,294.00,110.25,7.00,5,0.00,0,21.33
0.90,563.50,318.50,122.50,7.00,2,0.00,0,28.28
0.90,563.50,318.50,122.50,7.00,3,0.00,0,25.38
0.90,563.50,318.50,122.50,7.00,4,0.00,0,25.16
0.90,563.50,318.50,122.50,7.00,5,0.00,0,29.60
0.86,588.00,294.00,147.00,7.00,2,0.00,0,27.30
0.86,588.00,294.00,147.00,7.00,3,0.00,0,21.97
0.86,588.00,294.00,147.00,7.00,4,0.00,0,23.49
0.86,588.00,294.00,147.00,7.00,5,0.00,0,27.87
0.82,612.50,318.50,147.00,7.00,2,0.00,0,23.77
0.82,612.50,318.50,147.00,7.00,3,0.00,0,21.46
0.82,612.50,318.50,147.00,7.00,4,0.00,0,21.16
0.82,612.50,318.50,147.00,7.00,5,0.00,0,24.93
0.79,637.00,343.00,147.00,7.00,2,0.00,0,37.73
0.79,637.00,343.00,147.00,7.00,3,0.00,0,31.27
0.79,637.00,343.00,147.00,7.00,4,0.00,0,30.93
0.79,637.00,343.00,147.00,7.00,5,0.00,0,39.44
0.76,661.50,416.50,122.50,7.00,2,0.00,0,29.79
0.76,661.50,416.50,122.50,7.00,3,0.00,0,29.68
0.76,661.50,416.50,122.50,7.00,4,0.00,0,29.79
0.76,661.50,416.50,122.50,7.00,5,0.00,0,29.40
0.74,686.00,245.00,220.50,3.50,2,0.00,0,10.90
0.74,686.00,245.00,220.50,3.50,3,0.00,0,11.19
0.74,686.00,245.00,220.50,3.50,4,0.00,0,10.94
0.74,686.00,245.00,220.50,3.50,5,0.00,0,11.17
0.71,710.50,269.50,220.50,3.50,2,0.00,0,11.27
0.71,710.50,269.50,220.50,3.50,3,0.00,0,11.72
0.71,710.50,269.50,220.50,3.50,4,0.00,0,11.29
0.71,710.50,269.50,220.50,3.50,5,0.00,0,11.67
0.69,735.00,294.00,220.50,3.50,2,0.00,0,11.74
0.69,735.00,294.00,220.50,3.50,3,0.00,0,12.05
0.69,735.00,294.00,220.50,3.50,4,0.00,0,11.73
0.69,735.00,294.00,220.50,3.50,5,0.00,0,11.93
0.66,759.50,318.50,220.50,3.50,2,0.00,0,12.40
0.66,759.50,318.50,220.50,3.50,3,0.00,0,12.23
0.66,759.50,318.50,220.50,3.50,4,0.00,0,12.40
0.66,759.50,318.50,220.50,3.50,5,0.00,0,12.14
0.64,784.00,343.00,220.50,3.50,2,0.00,0,16.78
0.64,784.00,343.00,220.50,3.50,3,0.00,0,16.80
0.64,784.00,343.00,220.50,3.50,4,0.00,0,16.75
0.64,784.00,343.00,220.50,3.50,5,0.00,0,16.67
0.62,808.50,367.50,220.50,3.50,2,0.00,0,12.07
0.62,808.50,367.50,220.50,3.50,3,0.00,0,12.22
0.62,808.50,367.50,220.50,3.50,4,0.00,0,12.08
0.62,808.50,367.50,220.50,3.50,5,0.00,0,12.04
0.98,514.50,294.00,110.25,7.00,2,0.10,1,26.47
0.98,514.50,294.00,110.25,7.00,3,0.10,1,26.37
0.98,514.50,294.00,110.25,7.00,4,0.10,1,26.44
0.98,514.50,294.00,110.25,7.00,5,0.10,1,26.29
0.90,563.50,318.50,122.50,7.00,2,0.10,1,32.92
0.90,563.50,318.50,122.50,7.00,3,0.10,1,29.87
0.90,563.50,318.50,122.50,7.00,4,0.10,1,29.58
0.90,563.50,318.50,122.50,7.00,5,0.10,1,34.33
0.86,588.00,294.00,147.00,7.00,2,0.10,1,30.89
0.86,588.00,294.00,147.00,7.00,3,0.10,1,25.60
0.86,588.00,294.00,147.00,7.00,4,0.10,1,27.03
0.86,588.00,294.00,147.00,7.00,5,0.10,1,31.73
0.82,612.50,318.50,147.00,7.00,2,0.10,1,27.31
0.82,612.50,318.50,147.00,7.00,3,0.10,1,24.91
0.82,612.50,318.50,147.00,7.00,4,0.10,1,24.61
0.82,612.50,318.50,147.00,7.00,5,0.10,1,28.51
0.79,637.00,343.00,147.00,7.00,2,0.10,1,41.68
0.79,637.00,343.00,147.00,7.00,3,0.10,1,35.28
0.79,637.00,343.00,147.00,7.00,4,0.10,1,34.43
0.79,637.00,343.00,147.00,7.00,5,0.10,1,43.33
0.76,661.50,416.50,122.50,7.00,2,0.10,1,33.87
0.76,661.50,416.50,122.50,7.00,3,0.10,1,34.07
0.76,661.50,416.50,122.50,7.00,4,0.10,1,34.14
0.76,661.50,416.50,122.50,7.00,5,0.10,1,33.67
0.74,686.00,245.00,220.50,3.50,2,0.10,1,13.43
0.74,686.00,245.00,220.50,3.50,3,0.10,1,13.71
0.74,686.00,245.00,220.50,3.50,4,0.10,1,13.48
0.74,686.00,245.00,220.50,3.50,5,0.10,1,13.70
0.71,710.50,269.50,220.50,3.50,2,0.10,1,13.80
0.71,710.50,269.50,220.50,3.50,3,0.10,1,14.28
0.71,710.50,269.50,220.50,3.50,4,0.10,1,13.87
0.71,710.50,269.50,220.50,3.50,5,0.10,1,14.27
0.69,735.00,294.00,220.50,3.50,2,0.10,1,14.28
0.69,735.00,294.00,220.50,3.50,3,0.10,1,14.61
0.69,735.00,294.00,220.50,3.50,4,0.10,1,14.30
0.69,735.00,294.00,220.50,3.50,5,0.10,1,14.45
0.66,759.50,318.50,220.50,3.50,2,0.10,1,13.90
0.66,759.50,318.50,220.50,3.50,3,0.10,1,13.72
0.66,759.50,318.50,220.50,3.50,4,0.10,1,13.88
0.66,759.50,318.50,220.50,3.50,5,0.10,1,13.65
0.64,784.00,343.00,220.50,3.50,2,0.10,1,19.37
0.64,784.00,343.00,220.50,3.50,3,0.10,1,19.43
0.64,784.00,343.00,220.50,3.50,4,0.10,1,19.34
0.64,784.00,343.00,220.50,3.50,5,0.10,1,19.32
0.62,808.50,367.50,220.50,3.50,2,0.10,1,14.34
0.62,808.50,367.50,220.50,3.50,3,0.10,1,14.50
0.62,808.50,367.50,220.50,3.50,4,0.10,1,14.33
0.62,808.50,367.50,220.50,3.50,5,0.10,1,14.27
0.98,514.50,294.00,110.25,7.00,2,0.10,2,25.95
0.98,514.50,294.00,110.25,7.00,3,0.10,2,25.63
0.98,514.50,294.00,110.25,7.00,4,0.10,2,26.13
0.98,514.50,294.00,110.25,7.00,5,0.10,2,25.89
0.90,563.50,318.50,122.50,7.00,2,0.10,2,32.54
0.90,563.50,318.50,122.50,7.00,3,0.10,2,29.44
0.90,563.50,318.50,122.50,7.00,4,0.10,2,29.36
0.90,563.50,318.50,122.50,7.00,5,0.10,2,34.20
0.86,588.00,294.00,147.00,7.00,2,0.10,2,30.91
0.86,588.00,294.00,147.00,7.00,3,0.10,2,25.63
0.86,588.00,294.00,147.00,7.00,4,0.10,2,27.36
0.86,588.00,294.00,147.00,7.00,5,0.10,2,31.90
0.82,612.50,318.50,147.00,7.00,2,0.10,2,27.38
